,time,count
747,2006-07-17,1
748,2006-12-04,1
750,2007-01-15,1
751,2007-03-05,1
752,2007-03-19,1
724,2007-04-02,3
726,2007-04-09,3
753,2007-04-16,1
754,2007-04-23,1
729,2007-04-30,2
730,2007-07-02,2
755,2007-07-09,1
756,2007-07-30,1
757,2007-08-20,1
758,2007-08-27,1
759,2007-09-24,1
760,2007-11-12,1
736,2007-12-10,2
761,2008-02-11,1
762,2008-02-18,1
763,2008-02-25,1
738,2008-03-10,2
739,2008-03-17,2
740,2008-03-24,2
764,2008-03-31,1
741,2008-04-07,2
765,2008-04-14,1
743,2008-04-21,2
766,2008-04-28,1
767,2008-05-05,1
711,2008-05-12,4
733,2008-05-19,2
737,2008-05-26,2
710,2008-06-09,4
727,2008-06-23,3
768,2008-06-30,1
735,2008-07-07,2
734,2008-07-14,2
731,2008-07-21,2
709,2008-07-28,5
749,2008-08-04,1
723,2008-08-11,3
744,2008-08-18,2
706,2008-08-25,5
712,2008-09-01,4
700,2008-09-08,6
713,2008-09-15,4
707,2008-09-22,5
742,2008-09-29,2
728,2008-10-06,3
708,2008-10-13,5
716,2008-10-20,4
702,2008-10-27,5
705,2008-11-03,5
717,2008-11-10,4
718,2008-11-17,4
688,2008-11-24,8
696,2008-12-01,7
745,2008-12-08,2
697,2008-12-15,7
699,2008-12-22,6
725,2008-12-29,3
661,2009-01-05,11
687,2009-01-12,8
692,2009-01-19,8
679,2009-01-26,9
471,2009-02-02,18
582,2009-02-09,15
506,2009-02-16,17
585,2009-02-23,15
180,2009-03-02,26
103,2009-03-09,31
304,2009-03-16,23
581,2009-03-23,15
163,2009-03-30,27
296,2009-04-06,23
34,2009-04-13,43
159,2009-04-20,27
238,2009-04-27,24
558,2009-05-04,16
240,2009-05-11,24
560,2009-05-18,16
653,2009-05-25,12
535,2009-06-01,17
339,2009-06-08,22
42,2009-06-15,41
51,2009-06-22,38
217,2009-06-29,25
500,2009-07-06,18
308,2009-07-13,22
504,2009-07-20,17
691,2009-07-27,8
690,2009-08-03,8
359,2009-08-10,21
631,2009-08-17,13
315,2009-08-24,22
675,2009-08-31,9
516,2009-09-07,17
435,2009-09-14,19
657,2009-09-21,12
606,2009-09-28,14
683,2009-10-05,9
490,2009-10-12,18
641,2009-10-19,13
643,2009-10-26,12
620,2009-11-02,14
674,2009-11-09,10
662,2009-11-16,11
695,2009-11-23,7
640,2009-11-30,13
689,2009-12-07,8
644,2009-12-14,12
665,2009-12-21,11
154,2009-12-28,27
594,2010-01-04,15
566,2010-01-11,16
514,2010-01-18,17
634,2010-01-25,13
421,2010-02-01,19
486,2010-02-08,18
664,2010-02-15,11
532,2010-02-22,17
282,2010-03-01,23
652,2010-03-08,12
632,2010-03-15,13
654,2010-03-22,12
600,2010-03-29,14
554,2010-04-05,16
361,2010-04-12,21
459,2010-04-19,19
680,2010-04-26,9
496,2010-05-03,18
336,2010-05-10,22
438,2010-05-17,19
341,2010-05-24,22
651,2010-05-31,12
660,2010-06-07,11
557,2010-06-14,16
528,2010-06-21,17
645,2010-06-28,12
666,2010-07-05,11
612,2010-07-12,14
573,2010-07-19,16
406,2010-07-26,20
694,2010-08-02,7
681,2010-08-09,9
586,2010-08-16,15
669,2010-08-23,11
442,2010-08-30,19
622,2010-09-06,14
619,2010-09-13,14
527,2010-09-20,17
475,2010-09-27,18
698,2010-10-04,7
714,2010-10-11,4
591,2010-10-18,15
587,2010-10-25,15
663,2010-11-01,11
648,2010-11-08,12
676,2010-11-15,9
646,2010-11-22,12
621,2010-11-29,14
672,2010-12-06,10
480,2010-12-13,18
460,2010-12-20,19
630,2010-12-27,13
411,2011-01-03,20
355,2011-01-10,21
588,2011-01-17,15
287,2011-01-24,23
468,2011-01-31,18
225,2011-02-07,25
275,2011-02-14,23
458,2011-02-21,19
329,2011-02-28,22
450,2011-03-07,19
539,2011-03-14,16
187,2011-03-21,26
186,2011-03-28,26
162,2011-04-04,27
223,2011-04-11,25
540,2011-04-18,16
597,2011-04-25,15
97,2011-05-02,31
472,2011-05-09,18
232,2011-05-16,25
380,2011-05-23,21
362,2011-05-30,21
598,2011-06-06,15
508,2011-06-13,17
610,2011-06-20,14
226,2011-06-27,25
147,2011-07-04,27
513,2011-07-11,17
479,2011-07-18,18
578,2011-07-25,16
481,2011-08-01,18
66,2011-08-08,35
106,2011-08-15,31
245,2011-08-22,24
511,2011-08-29,17
485,2011-09-05,18
517,2011-09-12,17
576,2011-09-19,16
575,2011-09-26,16
130,2011-10-03,28
599,2011-10-10,15
617,2011-10-17,14
309,2011-10-24,22
512,2011-10-31,17
354,2011-11-07,21
483,2011-11-14,18
221,2011-11-21,25
611,2011-11-28,14
626,2011-12-05,13
352,2011-12-12,21
570,2011-12-19,16
168,2011-12-26,27
351,2012-01-02,21
518,2012-01-09,17
262,2012-01-16,24
408,2012-01-23,20
409,2012-01-30,20
307,2012-02-06,23
146,2012-02-13,27
410,2012-02-20,20
201,2012-02-27,25
181,2012-03-05,26
629,2012-03-12,13
131,2012-03-19,28
601,2012-03-26,14
536,2012-04-02,17
412,2012-04-09,20
111,2012-04-16,30
413,2012-04-23,20
436,2012-04-30,19
609,2012-05-07,14
300,2012-05-14,23
314,2012-05-21,22
264,2012-05-28,24
301,2012-06-04,23
564,2012-06-11,16
358,2012-06-18,21
266,2012-06-25,24
530,2012-07-02,17
667,2012-07-09,11
161,2012-07-16,27
134,2012-07-23,28
467,2012-07-30,18
463,2012-08-06,18
402,2012-08-13,20
237,2012-08-20,24
628,2012-08-27,13
607,2012-09-03,14
316,2012-09-10,22
118,2012-09-17,29
198,2012-09-24,25
87,2012-10-01,33
327,2012-10-08,22
305,2012-10-15,23
537,2012-10-22,17
577,2012-10-29,16
484,2012-11-05,18
204,2012-11-12,25
319,2012-11-19,22
