,time,count
798,2006-10-02,1
799,2006-12-04,1
809,2006-12-11,1
808,2006-12-18,1
773,2007-01-01,3
807,2007-01-08,1
771,2007-01-22,4
792,2007-02-12,2
806,2007-02-19,1
789,2007-02-26,2
779,2007-03-05,3
752,2007-03-12,6
733,2007-03-19,9
791,2007-03-26,2
768,2007-04-02,4
786,2007-04-09,3
797,2007-04-16,2
743,2007-04-23,7
785,2007-04-30,3
756,2007-05-07,5
770,2007-05-14,4
793,2007-05-21,2
765,2007-05-28,4
780,2007-06-04,3
781,2007-06-11,3
805,2007-06-18,1
776,2007-06-25,3
804,2007-07-02,1
766,2007-07-09,4
777,2007-07-16,3
794,2007-07-23,2
757,2007-07-30,5
778,2007-08-06,3
787,2007-08-13,2
758,2007-08-20,5
803,2007-09-03,1
802,2007-09-10,1
790,2007-09-17,2
801,2007-09-24,1
783,2007-10-08,3
800,2007-10-15,1
795,2007-10-22,2
796,2007-10-29,2
763,2007-11-05,4
762,2007-11-12,4
742,2007-11-19,7
788,2007-12-03,2
754,2007-12-10,6
764,2007-12-17,4
744,2007-12-24,7
753,2007-12-31,6
759,2008-01-07,5
751,2008-01-14,6
747,2008-01-21,7
748,2008-01-28,6
740,2008-02-04,8
761,2008-02-11,5
782,2008-02-18,3
760,2008-02-25,5
784,2008-03-03,3
755,2008-03-10,6
746,2008-03-17,7
723,2008-03-24,12
729,2008-03-31,10
727,2008-04-07,11
736,2008-04-14,9
703,2008-04-21,18
707,2008-04-28,16
728,2008-05-05,10
708,2008-05-12,16
721,2008-05-19,12
706,2008-05-26,16
739,2008-06-02,8
732,2008-06-09,9
722,2008-06-16,12
738,2008-06-23,9
730,2008-06-30,10
718,2008-07-07,13
711,2008-07-14,15
709,2008-07-21,16
710,2008-07-28,15
705,2008-08-04,16
716,2008-08-11,14
714,2008-08-18,14
713,2008-08-25,14
720,2008-09-01,13
717,2008-09-08,14
704,2008-09-15,18
699,2008-09-22,21
698,2008-09-29,21
696,2008-10-06,22
715,2008-10-13,14
700,2008-10-20,20
695,2008-10-27,23
693,2008-11-03,25
702,2008-11-10,18
692,2008-11-17,25
686,2008-11-24,38
690,2008-12-01,32
697,2008-12-08,22
691,2008-12-15,27
712,2008-12-22,15
688,2008-12-29,33
681,2009-01-05,45
689,2009-01-12,33
679,2009-01-19,47
651,2009-01-26,57
433,2009-02-02,85
539,2009-02-09,73
364,2009-02-16,91
299,2009-02-23,97
131,2009-03-02,115
191,2009-03-09,109
117,2009-03-16,117
61,2009-03-23,127
14,2009-03-30,146
225,2009-04-06,105
6,2009-04-13,152
13,2009-04-20,146
105,2009-04-27,119
255,2009-05-04,102
178,2009-05-11,110
246,2009-05-18,103
393,2009-05-25,89
410,2009-06-01,87
116,2009-06-08,117
1,2009-06-15,196
2,2009-06-22,172
142,2009-06-29,115
85,2009-07-06,122
174,2009-07-13,110
330,2009-07-20,95
248,2009-07-27,103
403,2009-08-03,88
240,2009-08-10,104
353,2009-08-17,92
495,2009-08-24,78
483,2009-08-31,80
458,2009-09-07,82
111,2009-09-14,118
355,2009-09-21,92
398,2009-09-28,88
498,2009-10-05,78
525,2009-10-12,75
481,2009-10-19,80
636,2009-10-26,60
654,2009-11-02,56
423,2009-11-09,86
586,2009-11-16,67
608,2009-11-23,64
492,2009-11-30,79
565,2009-12-07,70
635,2009-12-14,60
551,2009-12-21,71
385,2009-12-28,90
89,2010-01-04,121
386,2010-01-11,90
206,2010-01-18,107
469,2010-01-25,81
446,2010-02-01,84
143,2010-02-08,114
394,2010-02-15,89
311,2010-02-22,96
365,2010-03-01,91
326,2010-03-08,95
