,time,count
3985,2006-07-20,1
4717,2006-12-07,1
4244,2007-01-17,1
4243,2007-03-07,1
4242,2007-03-23,1
4241,2007-04-04,1
2940,2007-04-05,2
4240,2007-04-10,1
2962,2007-04-12,2
4239,2007-04-17,1
4238,2007-04-26,1
2923,2007-04-30,2
4237,2007-07-03,1
4236,2007-07-05,1
4234,2007-07-10,1
4224,2007-07-30,1
4233,2007-08-24,1
4232,2007-08-30,1
4231,2007-09-26,1
4230,2007-11-18,1
4229,2007-12-12,1
4228,2007-12-15,1
4227,2008-02-15,1
4226,2008-02-20,1
4225,2008-02-27,1
4245,2008-03-10,1
4246,2008-03-12,1
4247,2008-03-19,1
4248,2008-03-20,1
4267,2008-03-24,1
4266,2008-03-25,1
4265,2008-03-31,1
4264,2008-04-10,1
4263,2008-04-13,1
4262,2008-04-15,1
4261,2008-04-21,1
4260,2008-04-26,1
4259,2008-04-29,1
4258,2008-05-11,1
3070,2008-05-12,2
4257,2008-05-16,1
4256,2008-05-17,1
3079,2008-05-19,2
3055,2008-05-29,2
4255,2008-06-09,1
4254,2008-06-12,1
4253,2008-06-13,1
4252,2008-06-14,1
4251,2008-06-24,1
4250,2008-06-26,1
4249,2008-06-28,1
4235,2008-07-01,1
4223,2008-07-11,1
4222,2008-07-13,1
4221,2008-07-16,1
4196,2008-07-18,1
4195,2008-07-22,1
4194,2008-07-23,1
4193,2008-07-28,1
2906,2008-07-29,2
2950,2008-07-30,2
4192,2008-08-08,1
2910,2008-08-11,2
4191,2008-08-16,1
4190,2008-08-18,1
4189,2008-08-20,1
3234,2008-08-25,2
4188,2008-08-26,1
3238,2008-08-29,2
4186,2008-09-03,1
4176,2008-09-04,1
4185,2008-09-05,1
4184,2008-09-07,1
2009,2008-09-08,3
4183,2008-09-09,1
4182,2008-09-10,1
4181,2008-09-12,1
4180,2008-09-16,1
4179,2008-09-18,1
4178,2008-09-19,1
4177,2008-09-21,1
4197,2008-09-22,1
3310,2008-09-25,2
4187,2008-09-26,1
4198,2008-09-28,1
4211,2008-09-30,1
4220,2008-10-01,1
4219,2008-10-09,1
4218,2008-10-11,1
4217,2008-10-12,1
4216,2008-10-14,1
4215,2008-10-15,1
3117,2008-10-16,2
4214,2008-10-17,1
4213,2008-10-20,1
4212,2008-10-21,1
4210,2008-10-22,1
4200,2008-10-26,1
3139,2008-10-27,2
3127,2008-10-28,2
4209,2008-10-30,1
4208,2008-11-03,1
3110,2008-11-05,2
3101,2008-11-06,2
4207,2008-11-10,1
4206,2008-11-11,1
4205,2008-11-13,1
4204,2008-11-14,1
3102,2008-11-17,2
4203,2008-11-18,1
4202,2008-11-21,1
4201,2008-11-24,1
4268,2008-11-25,1
4269,2008-11-27,1
1968,2008-11-28,3
3108,2008-11-29,2
4270,2008-12-02,1
4317,2008-12-03,1
4338,2008-12-04,1
3178,2008-12-05,2
3184,2008-12-06,2
4337,2008-12-09,1
4336,2008-12-10,1
1982,2008-12-17,3
4335,2008-12-18,1
4334,2008-12-19,1
3186,2008-12-20,2
4333,2008-12-22,1
1984,2008-12-23,3
3190,2008-12-27,2
3193,2008-12-30,2
4332,2009-01-04,1
3170,2009-01-06,2
3144,2009-01-07,2
4331,2009-01-08,1
4330,2009-01-09,1
1708,2009-01-10,4
4328,2009-01-11,1
1685,2009-01-16,4
3153,2009-01-17,2
3143,2009-01-18,2
3161,2009-01-20,2
4318,2009-01-21,1
1969,2009-01-22,3
3081,2009-01-23,2
1957,2009-01-26,3
3169,2009-01-28,2
4327,2009-01-30,1
1959,2009-02-01,3
4326,2009-02-02,1
1830,2009-02-05,4
262,2009-02-06,7
1117,2009-02-07,5
4325,2009-02-08,1
4324,2009-02-09,1
1115,2009-02-10,5
3159,2009-02-11,2
3158,2009-02-12,2
3155,2009-02-13,2
1970,2009-02-15,3
2118,2009-02-16,3
3147,2009-02-17,2
4323,2009-02-18,1
2110,2009-02-19,3
1839,2009-02-20,4
3172,2009-02-21,2
3198,2009-02-22,2
4322,2009-02-23,1
2321,2009-02-24,3
4321,2009-02-25,1
1856,2009-02-26,4
2338,2009-02-27,3
3188,2009-02-28,2
4320,2009-03-01,1
3176,2009-03-02,2
2341,2009-03-03,3
223,2009-03-04,8
1922,2009-03-05,4
3107,2009-03-06,2
1125,2009-03-07,5
3096,2009-03-08,2
678,2009-03-10,6
1677,2009-03-11,4
1649,2009-03-12,4
214,2009-03-13,8
1197,2009-03-14,5
1671,2009-03-15,4
1667,2009-03-16,4
1183,2009-03-17,5
1162,2009-03-19,5
3085,2009-03-20,2
3097,2009-03-21,2
1167,2009-03-22,5
2311,2009-03-23,3
3130,2009-03-24,2
4319,2009-03-25,1
4339,2009-03-26,1
2310,2009-03-27,3
3124,2009-03-28,2
2298,2009-03-29,3
2304,2009-03-30,3
653,2009-03-31,6
2355,2009-04-01,3
3200,2009-04-02,2
130,2009-04-03,9
2396,2009-04-04,3
4340,2009-04-05,1
1170,2009-04-06,5
3282,2009-04-07,2
1753,2009-04-09,4
1748,2009-04-10,4
1129,2009-04-11,5
2425,2009-04-12,3
2424,2009-04-13,3
152,2009-04-14,8
1118,2009-04-15,5
2421,2009-04-16,3
30,2009-04-17,13
375,2009-04-18,7
1733,2009-04-19,4
157,2009-04-20,8
1734,2009-04-21,4
1757,2009-04-22,4
2417,2009-04-23,3
2405,2009-04-24,3
2366,2009-04-25,3
3305,2009-04-26,2
649,2009-04-27,6
3303,2009-04-28,2
2372,2009-04-29,3
1153,2009-04-30,5
3300,2009-05-01,2
2369,2009-05-02,3
2367,2009-05-03,3
4341,2009-05-04,1
3295,2009-05-05,2
3294,2009-05-06,2
2363,2009-05-07,3
2358,2009-05-08,3
2374,2009-05-09,3
3219,2009-05-10,2
646,2009-05-11,6
3215,2009-05-12,2
1776,2009-05-13,4
4342,2009-05-14,1
2377,2009-05-15,3
3213,2009-05-16,2
643,2009-05-17,6
3212,2009-05-18,2
2392,2009-05-19,3
2387,2009-05-20,3
3206,2009-05-21,2
4361,2009-05-23,1
1144,2009-05-24,5
1716,2009-05-25,4
4360,2009-05-26,1
4359,2009-05-28,1
4358,2009-05-29,1
1128,2009-05-30,5
4357,2009-06-01,1
2276,2009-06-03,3
2171,2009-06-04,3
1179,2009-06-05,5
3239,2009-06-06,2
2194,2009-06-07,3
2924,2009-06-08,2
1702,2009-06-09,4
2189,2009-06-10,3
1681,2009-06-11,4
2943,2009-06-12,2
1148,2009-06-13,5
2972,2009-06-14,2
1796,2009-06-15,4
332,2009-06-16,7
656,2009-06-17,6
57,2009-06-18,11
1136,2009-06-19,5
1927,2009-06-20,4
1895,2009-06-21,4
1879,2009-06-22,4
669,2009-06-23,6
2975,2009-06-24,2
323,2009-06-25,7
158,2009-06-26,8
1154,2009-06-27,5
677,2009-06-28,6
3044,2009-06-29,2
676,2009-06-30,6
3031,2009-07-01,2
4356,2009-07-02,1
384,2009-07-03,7
1108,2009-07-04,5
3039,2009-07-05,2
2253,2009-07-06,3
2242,2009-07-07,3
4355,2009-07-08,1
1825,2009-07-10,4
1827,2009-07-11,4
2240,2009-07-12,3
2258,2009-07-13,3
1158,2009-07-14,5
2263,2009-07-15,3
1189,2009-07-16,5
4354,2009-07-17,1
2248,2009-07-18,3
2989,2009-07-19,2
1815,2009-07-20,4
1204,2009-07-22,5
3022,2009-07-23,2
3015,2009-07-25,2
1864,2009-07-26,4
4353,2009-07-27,1
4352,2009-07-28,1
4351,2009-07-30,1
3010,2009-07-31,2
4350,2009-08-01,1
3025,2009-08-02,2
3002,2009-08-04,2
4349,2009-08-05,1
2982,2009-08-06,2
4348,2009-08-07,1
2987,2009-08-09,2
1842,2009-08-10,4
1846,2009-08-11,4
4347,2009-08-12,1
1847,2009-08-13,4
2119,2009-08-14,3
3052,2009-08-15,2
2222,2009-08-16,3
2223,2009-08-17,3
2228,2009-08-18,3
4346,2009-08-19,1
2944,2009-08-20,2
4345,2009-08-21,1
3403,2009-08-22,2
4344,2009-08-23,1
1161,2009-08-24,5
4343,2009-08-25,1
3737,2009-08-26,2
2213,2009-08-27,3
1186,2009-08-28,5
1198,2009-08-29,5
4329,2009-08-30,1
4316,2009-09-01,1
3722,2009-09-02,2
4282,2009-09-03,1
3721,2009-09-04,2
3707,2009-09-05,2
4315,2009-09-06,1
1191,2009-09-08,5
3709,2009-09-09,2
3718,2009-09-10,2
2271,2009-09-11,3
3742,2009-09-12,2
2274,2009-09-13,3
602,2009-09-14,6
2259,2009-09-15,3
3768,2009-09-16,2
3774,2009-09-17,2
1289,2009-09-18,4
3744,2009-09-19,2
4291,2009-09-21,1
2245,2009-09-22,3
3746,2009-09-23,2
3747,2009-09-24,2
4290,2009-09-25,1
3748,2009-09-26,2
4289,2009-09-27,1
3749,2009-09-28,2
2247,2009-09-29,3
2250,2009-10-01,3
4288,2009-10-02,1
2252,2009-10-03,3
3753,2009-10-04,2
3754,2009-10-05,2
4287,2009-10-06,1
4286,2009-10-07,1
3702,2009-10-08,2
3648,2009-10-09,2
4285,2009-10-11,1
3650,2009-10-12,2
1145,2009-10-13,5
4284,2009-10-14,1
1334,2009-10-15,4
2142,2009-10-16,3
4283,2009-10-17,1
3662,2009-10-18,2
2153,2009-10-19,3
3631,2009-10-20,2
3632,2009-10-21,2
4281,2009-10-22,1
2157,2009-10-23,3
3635,2009-10-24,2
3664,2009-10-26,2
3686,2009-10-27,2
1380,2009-10-28,4
4271,2009-10-30,1
3690,2009-10-31,2
4280,2009-11-01,1
4279,2009-11-02,1
4278,2009-11-03,1
2132,2009-11-05,3
2135,2009-11-06,3
2136,2009-11-07,3
2158,2009-11-08,3
2160,2009-11-09,3
3669,2009-11-10,2
3674,2009-11-12,2
2170,2009-11-13,3
4277,2009-11-16,1
3675,2009-11-17,2
1340,2009-11-21,4
1343,2009-11-22,4
3679,2009-11-25,2
3680,2009-11-26,2
3681,2009-11-28,2
4276,2009-11-29,1
1276,2009-11-30,4
3903,2009-12-01,2
2188,2009-12-02,3
4275,2009-12-03,1
4274,2009-12-04,1
3920,2009-12-06,2
4273,2009-12-07,1
2180,2009-12-08,3
4272,2009-12-09,1
3887,2009-12-10,2
4292,2009-12-12,1
4293,2009-12-14,1
1171,2009-12-16,5
3891,2009-12-17,2
4294,2009-12-18,1
3890,2009-12-19,2
4295,2009-12-20,1
3875,2009-12-21,2
3872,2009-12-22,2
1168,2009-12-23,5
4314,2009-12-25,1
4313,2009-12-27,1
629,2009-12-29,6
3915,2009-12-30,2
3918,2009-12-31,2
187,2010-01-01,8
1210,2010-01-02,4
1119,2010-01-03,5
1213,2010-01-04,4
4312,2010-01-06,1
626,2010-01-07,6
3909,2010-01-08,2
4311,2010-01-09,1
4310,2010-01-10,1
4309,2010-01-11,1
3781,2010-01-12,2
623,2010-01-13,6
4308,2010-01-14,1
4307,2010-01-15,1
3859,2010-01-16,2
2390,2010-01-17,3
1214,2010-01-18,4
1208,2010-01-19,4
1251,2010-01-20,4
3816,2010-01-22,2
3860,2010-01-23,2
4306,2010-01-24,1
1254,2010-01-25,4
1256,2010-01-26,4
2361,2010-01-27,3
3782,2010-01-30,2
2357,2010-02-01,3
3785,2010-02-02,2
4305,2010-02-03,1
4304,2010-02-04,1
1261,2010-02-05,4
1155,2010-02-06,5
2418,2010-02-07,3
3795,2010-02-08,2
1111,2010-02-09,5
4303,2010-02-10,1
2420,2010-02-11,3
1273,2010-02-12,4
3820,2010-02-13,2
4302,2010-02-14,1
3855,2010-02-15,2
1163,2010-02-16,5
3826,2010-02-17,2
3828,2010-02-19,2
2402,2010-02-22,3
1243,2010-02-23,4
2404,2010-02-24,3
4301,2010-02-25,1
3822,2010-02-26,2
4300,2010-02-27,1
2395,2010-02-28,3
3834,2010-03-01,2
611,2010-03-02,6
610,2010-03-03,6
2356,2010-03-04,3
3418,2010-03-05,2
1549,2010-03-07,4
2312,2010-03-08,3
3423,2010-03-09,2
4299,2010-03-10,1
3426,2010-03-11,2
2295,2010-03-12,3
4298,2010-03-14,1
4297,2010-03-16,1
2280,2010-03-17,3
4296,2010-03-18,1
3417,2010-03-19,2
3415,2010-03-20,2
1572,2010-03-21,4
4199,2010-03-22,1
3414,2010-03-23,2
3399,2010-03-24,2
4174,2010-03-25,1
2278,2010-03-26,3
4010,2010-03-27,1
3407,2010-03-28,2
3409,2010-03-29,2
4173,2010-03-30,1
3411,2010-03-31,2
1518,2010-04-01,4
4055,2010-04-02,1
3456,2010-04-03,2
3459,2010-04-04,2
1524,2010-04-05,4
3460,2010-04-07,2
1527,2010-04-08,4
1531,2010-04-09,4
3464,2010-04-11,2
1532,2010-04-12,4
2342,2010-04-13,3
4054,2010-04-14,1
3453,2010-04-15,2
1535,2010-04-16,4
1536,2010-04-17,4
2349,2010-04-18,3
1539,2010-04-19,4
2353,2010-04-20,3
2336,2010-04-21,3
4053,2010-04-22,1
3446,2010-04-23,2
4052,2010-04-24,1
1138,2010-04-25,5
3448,2010-04-27,2
2318,2010-04-29,3
2328,2010-04-30,3
4051,2010-05-02,1
3346,2010-05-03,2
3350,2010-05-04,2
1619,2010-05-05,4
1937,2010-05-06,3
1931,2010-05-08,3
1626,2010-05-09,4
3323,2010-05-10,2
3324,2010-05-11,2
350,2010-05-12,7
1628,2010-05-13,4
1952,2010-05-14,3
3328,2010-05-15,2
3331,2010-05-16,2
3335,2010-05-17,2
1190,2010-05-18,5
3357,2010-05-19,2
1607,2010-05-20,4
3379,2010-05-21,2
1972,2010-05-22,3
4050,2010-05-23,1
1605,2010-05-24,4
1943,2010-05-25,3
1932,2010-05-26,3
1583,2010-05-27,4
1973,2010-05-28,3
1976,2010-05-29,3
3383,2010-05-30,2
1584,2010-05-31,4
4049,2010-06-01,1
3389,2010-06-03,2
4048,2010-06-04,1
3392,2010-06-05,2
3378,2010-06-06,2
3376,2010-06-07,2
4047,2010-06-08,1
4045,2010-06-10,1
4035,2010-06-11,1
1594,2010-06-12,4
3367,2010-06-13,2
3369,2010-06-14,2
1930,2010-06-15,3
3373,2010-06-16,2
3473,2010-06-17,2
3571,2010-06-18,2
1514,2010-06-19,4
4044,2010-06-20,1
2081,2010-06-21,3
3579,2010-06-22,2
1430,2010-06-24,4
3580,2010-06-25,2
2077,2010-06-26,3
2075,2010-06-27,3
1438,2010-06-28,4
4043,2010-06-29,1
3559,2010-06-30,2
4042,2010-07-01,1
3563,2010-07-03,2
3566,2010-07-04,2
2060,2010-07-05,3
4041,2010-07-06,1
4040,2010-07-07,1
4039,2010-07-08,1
4038,2010-07-09,1
2055,2010-07-10,3
4037,2010-07-11,1
3621,2010-07-12,2
4036,2010-07-13,1
4056,2010-07-14,1
1402,2010-07-15,4
4057,2010-07-16,1
3596,2010-07-17,2
2104,2010-07-18,3
3600,2010-07-19,2
2099,2010-07-20,3
4058,2010-07-21,1
4059,2010-07-22,1
3550,2010-07-23,2
3549,2010-07-24,2
1109,2010-07-25,5
2087,2010-07-26,3
2432,2010-07-27,3
3501,2010-07-28,2
1116,2010-07-29,5
4078,2010-07-30,1
1121,2010-07-31,5
4077,2010-08-01,1
3505,2010-08-03,2
4076,2010-08-04,1
4075,2010-08-05,1
3507,2010-08-07,2
4074,2010-08-08,1
3493,2010-08-09,2
4073,2010-08-10,1
4072,2010-08-11,1
3476,2010-08-12,2
4071,2010-08-13,1
3478,2010-08-15,2
4070,2010-08-16,1
3480,2010-08-17,2
2003,2010-08-18,3
1504,2010-08-19,4
1997,2010-08-21,3
3489,2010-08-22,2
3533,2010-08-23,2
3534,2010-08-24,2
4069,2010-08-25,1
4068,2010-08-26,1
3537,2010-08-27,2
4067,2010-08-28,1
3545,2010-08-29,2
1165,2010-08-30,5
3547,2010-08-31,2
2044,2010-09-01,3
1471,2010-09-02,4
4066,2010-09-03,1
2035,2010-09-04,3
4065,2010-09-05,1
2030,2010-09-06,3
4064,2010-09-07,1
3523,2010-09-08,2
4063,2010-09-09,1
1181,2010-09-11,5
3654,2010-09-12,2
2896,2010-09-14,3
4062,2010-09-15,1
1180,2010-09-16,5
4061,2010-09-17,1
2859,2010-09-18,3
4060,2010-09-19,1
4046,2010-09-20,1
4034,2010-09-21,1
3520,2010-09-22,2
1479,2010-09-23,4
1478,2010-09-24,4
3518,2010-09-25,2
2886,2010-09-26,3
1474,2010-09-27,4
2854,2010-09-28,3
2857,2010-09-29,3
2889,2010-09-30,3
2770,2010-10-01,3
4033,2010-10-02,1
4032,2010-10-03,1
3544,2010-10-04,2
4007,2010-10-06,1
3512,2010-10-08,2
4006,2010-10-09,1
4005,2010-10-10,1
4004,2010-10-11,1
4003,2010-10-12,1
4002,2010-10-14,1
4001,2010-10-16,1
3486,2010-10-18,2
4000,2010-10-19,1
2825,2010-10-20,3
3999,2010-10-21,1
1160,2010-10-22,5
3485,2010-10-23,2
3997,2010-10-24,1
3504,2010-10-25,2
2813,2010-10-26,3
3987,2010-10-28,1
1488,2010-10-29,4
3996,2010-10-30,1
1487,2010-10-31,4
3495,2010-11-01,2
1419,2010-11-02,4
3995,2010-11-03,1
3588,2010-11-05,2
3994,2010-11-06,1
3993,2010-11-07,1
1408,2010-11-08,4
3992,2010-11-09,1
2819,2010-11-10,3
3598,2010-11-11,2
3594,2010-11-12,2
2838,2010-11-16,3
3593,2010-11-17,2
3991,2010-11-18,1
3990,2010-11-19,1
3622,2010-11-20,2
3620,2010-11-23,2
3618,2010-11-24,2
3989,2010-11-26,1
1448,2010-11-27,4
2764,2010-11-28,3
1134,2010-11-30,5
2749,2010-12-01,3
1442,2010-12-02,4
3988,2010-12-04,1
4008,2010-12-05,1
2763,2010-12-06,3
3568,2010-12-07,2
3585,2010-12-08,2
3582,2010-12-11,2
3998,2010-12-12,1
253,2010-12-13,7
1432,2010-12-14,4
3581,2010-12-15,2
3578,2010-12-16,2
4009,2010-12-17,1
4022,2010-12-18,1
4031,2010-12-19,1
4030,2010-12-20,1
3573,2010-12-21,2
1107,2010-12-22,5
547,2010-12-23,6
2902,2010-12-24,3
3368,2010-12-25,2
2890,2010-12-28,3
3366,2010-12-30,2
2885,2010-12-31,3
2851,2011-01-01,3
3375,2011-01-02,2
2883,2011-01-03,3
1588,2011-01-04,4
3391,2011-01-05,2
2874,2011-01-06,3
2869,2011-01-07,3
3385,2011-01-08,2
2873,2011-01-09,3
2878,2011-01-10,3
3382,2011-01-11,2
2847,2011-01-12,3
1578,2011-01-13,4
2856,2011-01-15,3
541,2011-01-16,6
3358,2011-01-17,2
3356,2011-01-18,2
1188,2011-01-20,5
4029,2011-01-21,1
3336,2011-01-22,2
2895,2011-01-23,3
4028,2011-01-24,1
539,2011-01-26,6
1112,2011-01-27,5
3327,2011-01-28,2
538,2011-01-29,6
2531,2011-01-30,3
2534,2011-02-01,3
4027,2011-02-02,1
536,2011-02-03,6
2536,2011-02-04,3
1623,2011-02-05,4
4026,2011-02-06,1
1608,2011-02-07,4
2542,2011-02-08,3
1142,2011-02-09,5
2530,2011-02-10,3
1614,2011-02-11,4
3406,2011-02-12,2
1610,2011-02-13,4
3449,2011-02-14,2
2522,2011-02-15,3
1140,2011-02-16,5
3444,2011-02-17,2
1543,2011-02-18,4
1149,2011-02-19,5
3437,2011-02-20,2
1534,2011-02-21,4
3465,2011-02-22,2
2565,2011-02-23,3
3413,2011-02-24,2
3410,2011-02-25,2
3397,2011-02-26,2
1545,2011-02-27,4
3432,2011-02-28,2
3431,2011-03-01,2
1567,2011-03-02,4
1566,2011-03-03,4
2472,2011-03-04,3
2508,2011-03-05,3
1564,2011-03-06,4
2457,2011-03-07,3
1558,2011-03-08,4
2460,2011-03-09,3
2461,2011-03-10,3
4025,2011-03-11,1
4024,2011-03-12,1
1553,2011-03-13,4
1552,2011-03-14,4
3419,2011-03-15,2
1392,2011-03-16,4
3396,2011-03-18,2
3835,2011-03-19,2
3833,2011-03-20,2
