,time,count
5133,2006-10-04,1
5134,2006-12-08,1
5202,2006-12-14,1
5201,2006-12-20,1
5200,2007-01-02,1
5199,2007-01-06,1
5198,2007-01-07,1
5197,2007-01-10,1
5077,2007-01-23,2
5196,2007-01-24,1
5195,2007-01-25,1
5069,2007-02-12,2
5194,2007-02-20,1
5192,2007-03-01,1
5182,2007-03-03,1
5191,2007-03-05,1
5190,2007-03-09,1
5189,2007-03-11,1
4919,2007-03-12,3
5188,2007-03-14,1
5187,2007-03-16,1
5186,2007-03-18,1
5185,2007-03-19,1
4787,2007-03-20,4
5184,2007-03-21,1
5183,2007-03-23,1
5203,2007-03-24,1
5204,2007-03-25,1
5205,2007-03-27,1
5206,2007-03-30,1
5225,2007-04-02,1
5224,2007-04-04,1
5223,2007-04-05,1
5222,2007-04-07,1
5221,2007-04-09,1
5220,2007-04-11,1
5219,2007-04-12,1
5218,2007-04-21,1
5217,2007-04-22,1
5216,2007-04-23,1
5215,2007-04-24,1
4981,2007-04-25,2
5214,2007-04-26,1
5213,2007-04-27,1
5212,2007-04-28,1
5211,2007-05-01,1
5210,2007-05-04,1
5209,2007-05-05,1
5208,2007-05-07,1
5207,2007-05-08,1
5193,2007-05-09,1
5034,2007-05-11,2
5180,2007-05-15,1
5146,2007-05-16,1
5008,2007-05-17,2
5011,2007-05-23,2
5179,2007-05-29,1
5155,2007-05-30,1
5000,2007-05-31,2
4945,2007-06-04,3
5154,2007-06-12,1
5153,2007-06-15,1
5152,2007-06-17,1
5151,2007-06-20,1
4953,2007-06-27,3
5150,2007-07-07,1
5149,2007-07-09,1
5148,2007-07-10,1
5147,2007-07-12,1
5145,2007-07-13,1
5135,2007-07-16,1
5144,2007-07-19,1
5143,2007-07-20,1
5142,2007-07-23,1
5141,2007-07-28,1
5140,2007-08-02,1
5045,2007-08-04,2
5043,2007-08-05,2
5139,2007-08-07,1
5138,2007-08-08,1
5137,2007-08-09,1
5062,2007-08-17,2
5136,2007-08-20,1
5156,2007-08-22,1
4955,2007-08-24,3
