,followers_count
0,6202
1,959
2,42355
3,18293
4,2877
5,910
6,11500
7,3373
8,2383
9,957
10,7614
11,612793
12,632
13,378
14,7380
15,656
16,1347
17,3058
18,5831
19,848
20,719
21,157
22,10820
23,1737
24,1347
25,1762
26,826
27,3394
28,103922
29,706
30,801
31,2516
32,4918
33,1448
34,1108
35,102
36,3546
37,265
38,3354
39,1738
40,1823
41,696
42,53591
43,1055
44,2219
45,1015
46,330
47,16760
48,42434
49,2991
50,602
51,505
52,201
53,865
54,3444
55,3555
56,1244
57,7829
58,10037
59,1877
60,2214
61,1882
62,788
63,3857
64,208
65,1462
66,4879
67,3230
68,561
69,24594
70,245
71,2074
72,2262
73,506
74,85126
75,558
76,23883
77,8114
78,86
79,2205
80,885
81,2377
82,494
83,3668
84,17
85,3472
86,46042
87,11181
88,31
89,62
90,2137
91,659
92,4307
93,449
94,3263
95,5841
96,2145
97,15998
98,284
99,5607
100,3524
101,1036
102,562
103,45519
104,5778
105,2149
106,3279
107,2591
108,1590
109,1679
110,6786
111,648
112,564
113,204
114,343
115,12546
116,1198
117,23116
118,1843
119,139
120,115
121,525
122,860
123,1942
124,413
125,606
126,8961
127,710
128,1550
129,49
130,9900
131,389
132,3790
133,5261
134,194
135,11439
136,479
137,4565
138,4338
139,17596
140,97
141,451
142,315
143,2941
144,13949
145,105
146,2878
147,1118
148,514
149,7486
150,4044
151,527
152,1024
153,288
154,81342
155,4146
156,87
157,162
158,5272
159,1303
160,112
161,2777
162,5052
163,4124
164,1155
165,44
166,32184
167,1008
168,1337
169,327
170,139
171,374
172,22811
173,248
174,2190
175,89
176,208
177,498
178,73
179,2048
180,521
181,465
182,3161
183,651
184,2104
185,1120
186,265
187,891
188,84
189,310
190,77
191,239
192,1681
193,53
194,259
195,922
196,110
197,260
198,81
199,1010
200,2426
201,142796
202,1791
203,12219
204,1361
205,107537
206,14220
207,3658
208,137
209,3200
210,437
211,37663
212,142
213,2637
214,291
215,56
216,1651
217,987
218,467
219,2813
220,24922
221,1320
222,3271
223,842
224,8610
225,1771
226,1530
227,1010
228,191
229,3511
230,192
231,592
232,1766
233,6325
234,7701
235,742
236,27331
237,802
238,2861
239,717
240,300
241,16851
242,210
243,540
244,314
245,507
246,471
247,4832
248,2079
249,474
250,1425
251,245
252,254
253,1882
254,147
255,116
256,6272
257,2073
258,10061
259,2022
260,766
261,9211
262,103
263,752
264,1650
265,611
266,34222
267,39
268,681
269,14818
270,1499
271,372
272,11940
273,6854
274,694
275,7493
276,1189
277,1606
278,5092
279,5172
280,1926
281,2188
282,287
283,3413
284,2189
285,2678
286,538
287,3665
288,1931
289,2534
290,349
291,468
292,7803
293,4435
294,765
295,7
296,415
297,183
298,488
299,13439
300,42
301,5301
302,763
303,6619
304,3319
305,2386
306,5642
307,267
308,2808
309,442
310,230
311,11587
312,205
313,54
314,2165
315,45440
316,2173
317,109
318,3555
319,2652
320,83
321,383
322,551
323,54071
324,187
325,3953
326,6312
327,232
