,norigins,nretweets,nquotes,nreplies,ntotal
0,32,575,0,7,614
1,386,2,107,48,543
2,2,416,0,3,421
3,5,0,2,374,381
4,1,346,1,0,348
5,3,303,0,0,306
6,175,85,8,7,275
7,221,0,1,34,256
8,20,0,0,230,250
9,1,236,0,0,237
10,215,7,2,0,224
11,0,199,0,0,199
12,1,179,0,2,182
13,98,6,69,5,178
14,7,135,0,31,173
15,1,151,4,3,159
16,0,153,0,0,153
17,0,145,0,5,150
18,2,145,0,0,147
19,1,134,0,0,135
20,0,120,0,2,122
21,0,0,1,118,119
22,3,109,2,3,117
23,0,116,0,0,116
24,3,0,0,105,108
25,5,87,2,6,100
26,2,97,0,0,99
27,0,98,0,0,98
28,0,95,0,0,95
29,0,92,0,0,92
30,0,89,0,0,89
31,0,88,0,0,88
32,0,85,0,0,85
33,81,0,3,0,84
34,0,83,0,0,83
35,0,79,0,0,79
36,1,78,0,0,79
37,2,69,1,6,78
38,2,73,1,0,76
39,0,72,0,2,74
40,71,0,0,0,71
41,0,71,0,0,71
42,18,1,50,1,70
43,1,67,0,2,70
44,1,63,3,3,70
45,3,66,0,0,69
46,15,53,0,0,68
47,0,67,0,0,67
48,1,63,0,0,64
49,0,62,0,0,62
50,0,60,0,0,60
51,0,60,0,0,60
52,3,29,5,22,59
53,0,58,0,0,58
54,2,54,0,0,56
55,0,56,0,0,56
56,0,56,0,0,56
57,0,54,0,0,54
58,0,52,0,0,52
59,42,2,0,6,50
60,0,50,0,0,50
61,0,49,0,0,49
62,0,47,0,0,47
63,0,0,1,46,47
64,0,47,0,0,47
65,0,46,0,0,46
66,1,43,1,0,45
67,0,44,0,0,44
68,0,44,0,0,44
69,0,43,0,0,43
70,16,13,1,13,43
71,0,43,0,0,43
72,0,43,0,0,43
73,42,0,0,0,42
74,3,39,0,0,42
75,0,42,0,0,42
76,0,42,0,0,42
77,1,40,0,0,41
78,0,41,0,0,41
79,0,41,0,0,41
80,0,41,0,0,41
81,0,40,0,0,40
82,0,40,0,0,40
83,0,40,0,0,40
84,18,16,1,5,40
85,1,0,0,39,40
86,1,39,0,0,40
87,0,40,0,0,40
88,0,40,0,0,40
89,0,39,0,0,39
90,0,39,0,0,39
91,39,0,0,0,39
92,0,39,0,0,39
93,0,38,0,0,38
94,0,38,0,0,38
95,0,37,0,0,37
96,0,37,0,0,37
97,1,35,0,0,36
98,0,0,0,36,36
99,0,36,0,0,36
100,0,36,0,0,36
101,2,0,0,34,36
102,0,36,0,0,36
103,0,36,0,0,36
104,0,36,0,0,36
105,0,36,0,0,36
106,2,34,0,0,36
107,0,35,0,0,35
108,0,35,0,0,35
109,0,35,0,0,35
110,0,34,1,0,35
111,35,0,0,0,35
112,2,32,0,0,34
113,0,34,0,0,34
114,0,34,0,0,34
115,2,31,0,1,34
116,0,34,0,0,34
117,0,0,0,34,34
118,0,34,0,0,34
119,7,26,0,0,33
120,5,28,0,0,33
121,3,30,0,0,33
122,32,1,0,0,33
123,0,33,0,0,33
124,1,32,0,0,33
125,0,32,0,0,32
126,2,30,0,0,32
127,0,32,0,0,32
128,0,32,0,0,32
129,3,26,3,0,32
130,0,32,0,0,32
131,0,31,0,0,31
132,31,0,0,0,31
133,1,30,0,0,31
134,0,31,0,0,31
135,0,31,0,0,31
136,0,31,0,0,31
137,0,30,0,0,30
138,0,30,0,0,30
139,1,25,2,2,30
140,0,29,0,0,29
141,2,27,0,0,29
142,1,26,1,1,29
143,0,29,0,0,29
144,0,29,0,0,29
145,0,8,0,21,29
146,0,29,0,0,29
147,1,0,1,27,29
148,29,0,0,0,29
149,4,19,6,0,29
150,0,28,0,0,28
151,0,28,0,0,28
152,0,28,0,0,28
153,0,26,2,0,28
154,11,17,0,0,28
155,1,27,0,0,28
156,0,22,0,6,28
157,0,28,0,0,28
158,0,28,0,0,28
159,0,28,0,0,28
160,1,26,0,0,27
161,3,22,2,0,27
162,0,27,0,0,27
163,0,27,0,0,27
164,0,27,0,0,27
165,0,27,0,0,27
166,0,27,0,0,27
167,1,26,0,0,27
168,0,27,0,0,27
169,0,27,0,0,27
170,0,22,0,4,26
171,0,26,0,0,26
172,0,26,0,0,26
173,0,26,0,0,26
174,0,26,0,0,26
175,0,26,0,0,26
176,0,26,0,0,26
177,0,26,0,0,26
178,0,26,0,0,26
179,0,26,0,0,26
180,3,21,0,2,26
181,1,4,20,0,25
182,0,25,0,0,25
183,0,25,0,0,25
184,24,1,0,0,25
185,1,22,0,2,25
186,0,25,0,0,25
187,6,19,0,0,25
188,19,0,0,6,25
189,0,24,0,0,24
190,0,24,0,0,24
191,0,24,0,0,24
192,2,22,0,0,24
193,0,24,0,0,24
194,0,24,0,0,24
195,0,24,0,0,24
196,0,24,0,0,24
197,0,23,0,0,23
198,0,23,0,0,23
199,0,23,0,0,23
200,0,23,0,0,23
201,2,21,0,0,23
202,0,23,0,0,23
203,20,2,1,0,23
204,23,0,0,0,23
205,0,23,0,0,23
206,0,23,0,0,23
207,0,22,0,1,23
208,0,23,0,0,23
209,0,23,0,0,23
210,0,23,0,0,23
211,0,23,0,0,23
212,0,23,0,0,23
213,0,22,1,0,23
214,0,22,0,1,23
215,0,23,0,0,23
216,0,23,0,0,23
217,0,23,0,0,23
218,0,22,0,0,22
219,0,22,0,0,22
220,0,22,0,0,22
221,0,22,0,0,22
222,4,10,0,8,22
223,0,22,0,0,22
224,0,22,0,0,22
225,0,22,0,0,22
226,0,22,0,0,22
227,0,19,0,3,22
228,2,0,20,0,22
229,1,5,0,16,22
230,0,22,0,0,22
231,0,21,0,0,21
232,3,16,2,0,21
233,0,21,0,0,21
234,1,20,0,0,21
235,0,21,0,0,21
236,0,21,0,0,21
237,0,21,0,0,21
238,0,21,0,0,21
239,0,21,0,0,21
240,0,21,0,0,21
241,15,5,0,1,21
242,0,21,0,0,21
243,0,21,0,0,21
244,0,20,0,0,20
245,8,12,0,0,20
246,8,8,0,4,20
247,0,20,0,0,20
248,5,9,6,0,20
249,0,20,0,0,20
250,2,9,1,8,20
251,0,20,0,0,20
252,0,20,0,0,20
253,0,20,0,0,20
254,0,20,0,0,20
255,0,20,0,0,20
256,1,17,2,0,20
257,0,20,0,0,20
258,4,16,0,0,20
259,0,20,0,0,20
260,0,20,0,0,20
261,0,20,0,0,20
262,0,20,0,0,20
263,0,20,0,0,20
264,1,19,0,0,20
265,0,20,0,0,20
266,0,0,0,20,20
267,6,1,0,13,20
268,20,0,0,0,20
269,0,19,0,0,19
270,8,6,5,0,19
271,0,19,0,0,19
272,0,1,18,0,19
273,0,19,0,0,19
274,0,18,1,0,19
275,0,19,0,0,19
276,0,19,0,0,19
277,0,19,0,0,19
278,3,15,1,0,19
279,0,0,0,19,19
280,0,19,0,0,19
281,19,0,0,0,19
282,0,19,0,0,19
283,0,19,0,0,19
284,0,18,0,0,18
285,0,18,0,0,18
286,0,18,0,0,18
287,0,18,0,0,18
288,0,18,0,0,18
289,0,18,0,0,18
290,0,18,0,0,18
291,0,18,0,0,18
292,0,18,0,0,18
293,0,18,0,0,18
294,5,13,0,0,18
295,0,18,0,0,18
296,8,10,0,0,18
297,0,18,0,0,18
298,0,15,3,0,18
299,12,0,0,6,18
300,0,18,0,0,18
301,0,18,0,0,18
302,0,18,0,0,18
303,0,18,0,0,18
304,0,18,0,0,18
305,0,18,0,0,18
306,0,18,0,0,18
307,2,16,0,0,18
308,0,18,0,0,18
309,0,18,0,0,18
310,0,17,0,0,17
311,0,17,0,0,17
312,17,0,0,0,17
313,0,17,0,0,17
314,1,16,0,0,17
315,0,17,0,0,17
316,0,17,0,0,17
317,0,14,0,3,17
318,0,17,0,0,17
319,0,17,0,0,17
320,0,17,0,0,17
321,0,17,0,0,17
322,0,17,0,0,17
323,4,1,2,10,17
324,0,17,0,0,17
325,1,16,0,0,17
326,0,17,0,0,17
327,0,17,0,0,17
328,0,17,0,0,17
329,0,17,0,0,17
330,0,17,0,0,17
331,0,17,0,0,17
332,0,16,0,0,16
333,0,16,0,0,16
334,0,16,0,0,16
335,0,16,0,0,16
336,0,16,0,0,16
337,0,16,0,0,16
338,10,6,0,0,16
339,0,16,0,0,16
340,0,16,0,0,16
341,16,0,0,0,16
342,0,16,0,0,16
343,0,16,0,0,16
344,1,7,0,8,16
345,0,16,0,0,16
346,0,16,0,0,16
347,0,16,0,0,16
348,0,16,0,0,16
349,0,16,0,0,16
350,0,16,0,0,16
351,0,0,4,12,16
352,16,0,0,0,16
353,12,1,3,0,16
354,0,16,0,0,16
355,1,15,0,0,16
356,0,16,0,0,16
357,3,10,1,2,16
358,0,0,16,0,16
359,0,16,0,0,16
360,0,16,0,0,16
361,0,16,0,0,16
362,0,16,0,0,16
363,0,16,0,0,16
364,0,16,0,0,16
365,0,16,0,0,16
366,1,13,1,1,16
367,0,16,0,0,16
368,0,15,0,0,15
369,0,15,0,0,15
370,0,15,0,0,15
371,15,0,0,0,15
372,0,15,0,0,15
373,0,15,0,0,15
374,0,15,0,0,15
375,0,15,0,0,15
376,0,15,0,0,15
377,0,15,0,0,15
378,0,15,0,0,15
379,0,15,0,0,15
380,0,15,0,0,15
381,0,15,0,0,15
382,0,15,0,0,15
383,0,15,0,0,15
384,0,15,0,0,15
385,0,15,0,0,15
386,0,15,0,0,15
387,0,15,0,0,15
388,0,15,0,0,15
389,0,15,0,0,15
390,2,0,0,13,15
391,0,15,0,0,15
392,0,15,0,0,15
393,0,15,0,0,15
394,0,15,0,0,15
395,10,5,0,0,15
396,0,15,0,0,15
397,2,1,7,5,15
398,1,14,0,0,15
399,0,15,0,0,15
400,0,15,0,0,15
401,0,15,0,0,15
402,0,14,0,0,14
403,0,14,0,0,14
404,0,14,0,0,14
405,0,14,0,0,14
406,0,13,0,1,14
407,0,14,0,0,14
408,0,14,0,0,14
409,1,13,0,0,14
410,0,0,0,14,14
411,0,14,0,0,14
412,0,14,0,0,14
413,0,14,0,0,14
414,0,14,0,0,14
415,0,14,0,0,14
416,0,14,0,0,14
417,14,0,0,0,14
418,0,14,0,0,14
419,0,14,0,0,14
420,0,14,0,0,14
421,2,12,0,0,14
422,0,14,0,0,14
423,0,12,2,0,14
424,0,14,0,0,14
425,1,8,0,5,14
426,0,14,0,0,14
427,0,14,0,0,14
428,13,0,0,1,14
429,0,14,0,0,14
430,0,14,0,0,14
431,0,13,0,1,14
432,4,10,0,0,14
433,14,0,0,0,14
434,1,13,0,0,14
435,0,10,0,4,14
436,0,13,1,0,14
437,2,12,0,0,14
438,0,14,0,0,14
439,0,14,0,0,14
440,0,14,0,0,14
441,0,13,0,0,13
442,1,11,1,0,13
443,0,13,0,0,13
444,0,13,0,0,13
445,0,13,0,0,13
446,0,13,0,0,13
447,2,7,2,2,13
448,0,13,0,0,13
449,0,13,0,0,13
450,5,8,0,0,13
451,4,9,0,0,13
452,0,13,0,0,13
453,0,13,0,0,13
454,0,13,0,0,13
455,0,13,0,0,13
456,0,13,0,0,13
457,0,13,0,0,13
458,0,8,0,5,13
459,0,13,0,0,13
