,norigins,nretweets,nquotes,nreplies,ntotal
0,0,34,0,2488,2522
1,119,1130,25,97,1371
2,90,76,201,690,1057
3,5,8,90,433,536
4,435,0,0,0,435
5,68,295,14,15,392
6,0,0,190,190,380
7,0,0,181,183,364
8,114,1,199,22,336
9,26,0,117,188,331
10,0,311,0,0,311
11,40,264,0,0,304
12,42,0,249,10,301
13,34,83,62,80,259
14,32,2,103,88,225
15,48,0,112,64,224
16,3,66,2,150,221
17,0,216,0,0,216
18,176,0,2,30,208
19,3,11,44,136,194
20,0,188,0,0,188
21,9,150,2,24,185
22,0,180,0,0,180
23,22,96,57,0,175
24,24,1,119,23,167
25,43,53,67,3,166
26,25,16,50,71,162
27,2,154,0,5,161
28,49,56,0,48,153
29,27,114,11,0,152
30,22,71,12,38,143
31,1,142,0,0,143
32,30,0,51,59,140
33,10,87,0,42,139
34,28,33,56,21,138
35,0,0,0,137,137
36,95,0,40,0,135
37,4,105,9,15,133
38,29,17,17,69,132
39,0,72,0,60,132
40,17,115,0,0,132
41,0,131,0,0,131
42,1,128,0,0,129
43,12,10,67,38,127
44,0,127,0,0,127
45,0,127,0,0,127
46,5,108,8,0,121
47,58,41,16,1,116
48,16,14,26,60,116
49,5,22,78,9,114
50,18,64,11,19,112
51,59,3,18,31,111
52,49,0,37,22,108
53,1,45,4,57,107
54,13,0,3,89,105
55,1,101,0,1,103
56,0,99,0,2,101
57,83,0,0,18,101
58,1,8,0,90,99
59,0,94,0,0,94
60,1,93,0,0,94
61,1,48,14,29,92
62,1,10,5,76,92
63,80,0,11,0,91
64,0,91,0,0,91
65,11,2,11,66,90
66,4,3,2,81,90
67,1,0,0,88,89
68,3,12,0,74,89
69,0,2,41,45,88
70,15,67,6,0,88
71,64,3,13,7,87
72,62,14,2,9,87
73,0,87,0,0,87
74,86,0,0,0,86
75,2,83,0,0,85
76,0,85,0,0,85
77,14,70,0,0,84
78,63,11,3,6,83
79,11,0,64,7,82
80,0,77,3,0,80
81,14,66,0,0,80
82,1,76,0,2,79
83,2,77,0,0,79
84,1,78,0,0,79
85,1,77,0,0,78
86,5,16,55,1,77
87,1,75,0,0,76
88,3,73,0,0,76
89,2,74,0,0,76
90,0,76,0,0,76
91,2,72,1,1,76
92,10,21,30,15,76
93,1,58,0,16,75
94,10,1,1,63,75
95,21,0,9,45,75
96,21,0,0,53,74
97,49,17,1,6,73
98,9,61,3,0,73
99,0,73,0,0,73
100,0,73,0,0,73
101,3,57,11,0,71
102,36,18,12,5,71
103,14,2,54,1,71
104,0,71,0,0,71
105,1,10,0,60,71
106,30,9,30,1,70
107,51,15,1,3,70
108,0,64,2,2,68
109,13,28,15,12,68
110,26,19,18,5,68
111,0,68,0,0,68
112,0,64,0,3,67
113,20,15,32,0,67
114,0,66,0,0,66
115,3,62,0,0,65
116,0,65,0,0,65
117,0,65,0,0,65
118,0,64,0,0,64
119,5,5,26,28,64
120,3,1,0,59,63
121,1,60,0,2,63
122,1,62,0,0,63
123,0,62,0,0,62
124,2,1,0,59,62
125,14,48,0,0,62
126,0,62,0,0,62
127,0,62,0,0,62
128,55,5,0,1,61
129,7,45,5,4,61
130,0,61,0,0,61
131,0,60,0,0,60
132,7,12,0,41,60
133,33,12,9,6,60
134,4,27,25,3,59
135,0,0,0,59,59
136,3,56,0,0,59
137,59,0,0,0,59
138,3,44,3,7,57
139,0,57,0,0,57
140,2,0,10,45,57
141,1,54,0,2,57
142,0,57,0,0,57
143,0,57,0,0,57
144,2,53,2,0,57
145,9,0,18,29,56
146,0,56,0,0,56
147,41,0,14,1,56
148,43,4,1,7,55
149,11,3,25,16,55
150,39,11,2,2,54
151,0,53,0,1,54
152,0,13,0,41,54
153,0,0,0,54,54
154,33,1,1,18,53
155,32,1,11,9,53
156,5,30,0,18,53
157,25,24,1,3,53
158,2,51,0,0,53
159,6,45,2,0,53
160,5,47,0,1,53
161,13,1,39,0,53
162,9,30,13,0,52
163,32,1,2,17,52
164,1,0,1,50,52
165,2,50,0,0,52
166,0,51,1,0,52
167,0,52,0,0,52
168,13,3,36,0,52
169,0,0,26,26,52
170,34,15,1,1,51
171,0,51,0,0,51
172,34,2,15,0,51
173,8,1,26,16,51
174,12,38,0,1,51
175,16,4,27,4,51
176,0,50,0,0,50
177,0,50,0,0,50
178,0,50,0,0,50
179,0,50,0,0,50
180,0,50,0,0,50
181,0,47,2,0,49
182,40,9,0,0,49
183,27,5,11,6,49
184,4,36,0,9,49
185,12,37,0,0,49
186,2,1,16,30,49
187,0,49,0,0,49
188,10,3,11,24,48
189,0,48,0,0,48
190,3,0,0,45,48
191,8,36,4,0,48
192,13,6,8,21,48
193,1,0,0,47,48
194,1,27,15,5,48
195,0,41,3,3,47
196,0,47,0,0,47
197,0,47,0,0,47
198,41,4,1,1,47
199,0,46,0,0,46
200,7,13,23,3,46
201,0,46,0,0,46
202,0,46,0,0,46
203,1,0,1,43,45
204,0,44,0,1,45
205,3,2,3,37,45
206,0,45,0,0,45
207,0,22,0,23,45
208,3,1,1,40,45
209,7,1,9,28,45
210,0,44,0,0,44
211,14,0,30,0,44
212,11,13,17,3,44
213,0,44,0,0,44
214,2,0,20,22,44
215,8,1,33,1,43
216,9,21,12,1,43
217,0,34,0,9,43
218,4,22,3,14,43
219,0,2,10,31,43
220,8,0,35,0,43
221,0,42,0,0,42
222,0,42,0,0,42
223,7,28,1,6,42
224,14,7,9,12,42
225,9,25,3,5,42
226,11,6,24,1,42
227,4,21,8,9,42
228,23,5,12,2,42
229,0,41,1,0,42
230,3,4,12,23,42
231,3,38,0,1,42
232,14,25,0,3,42
233,8,29,1,3,41
234,1,0,0,40,41
