,bot_score
4,0.16
11,0.16
12,0.11
16,0.18
22,0.16
27,0.11
33,0.16
41,0.18
51,0.27
52,0.27
53,0.27
58,0.25
60,0.27
64,0.23
92,0.25
94,0.1
97,0.16
101,0.16
102,0.27
115,0.05
116,0.27
117,0.05
123,0.14
157,0.41000000000000003
158,0.1
159,0.19
177,0.13
193,0.44
202,0.09
205,0.05
213,0.15
215,0.25
220,0.1
224,0.12
226,0.16
230,0.06
234,0.2
239,0.29
252,0.52
254,0.28
256,0.06
259,0.77
264,0.14
267,0.1
293,0.12
294,0.2
299,0.15
313,0.25
314,0.28
316,0.11
324,0.25
325,0.48
333,0.62
338,0.16
341,0.16
344,0.25
345,0.21
346,0.16
347,0.36
349,0.14
362,0.28
385,0.34
398,0.21
400,0.05
401,0.2
408,0.2
429,0.11
431,0.05
442,0.2
447,0.2
450,0.14
455,0.14
457,0.07
462,0.09
469,0.18
488,0.04
490,0.17
496,0.01
502,0.19
503,0.09
504,0.07
509,0.03
512,0.48
514,0.48
526,0.86
534,0.32
538,0.68
553,0.01
562,0.49
572,0.2
575,0.2
578,0.2
579,0.2
580,0.2
581,0.2
583,0.2
586,0.02
589,0.75
592,0.2
595,0.39
599,0.24
624,0.12
630,0.68
631,0.2
632,0.78
644,0.05
651,0.42
656,0.05
679,0.1
706,0.23
711,0.23
712,0.28
728,0.4
730,0.02
731,0.4
733,0.02
736,0.22
742,0.06
745,0.08
751,0.0
752,0.26
763,0.26
766,0.23
774,0.26
775,0.14
791,0.4
793,0.1
799,0.0
802,0.17
807,0.02
808,0.18
813,0.29
818,0.03
827,0.33
834,0.23
835,0.17
837,0.03
838,0.07
839,0.17
843,0.75
849,0.0
851,0.26
852,0.31
858,0.67
861,0.09
873,0.11
876,0.27
884,0.13
891,0.27
896,0.2
897,0.1
900,0.09
907,0.02
909,0.01
915,0.09
920,0.25
922,0.12
923,0.15
925,0.48
928,0.18
931,0.18
933,0.31
937,0.18
940,0.2
949,0.06
950,0.0
955,0.27
959,0.05
968,0.12
978,0.8300000000000001
984,0.29
986,0.33
988,0.21
990,0.9500000000000001
992,0.04
996,0.08
1001,0.25
1017,0.2
1019,0.27
1021,0.8
1024,0.27
1031,0.18
1038,0.4
1041,0.02
1043,0.52
1045,0.27
1047,0.16
1052,0.01
1053,0.27
1056,0.17
1058,0.17
1059,0.66
1065,0.41000000000000003
1066,0.16
1072,0.14
1083,0.27
1085,0.08
1095,0.36
1098,0.27
1101,0.01
1102,0.61
1106,0.75
1114,0.15
1119,0.07
1120,0.2
1121,0.11
1125,0.27
1126,0.11
1132,0.0
1136,0.05
1144,0.17
1148,0.15
1161,0.13
1177,0.27
1186,0.19
1187,0.04
1194,0.27
1199,0.27
1202,0.64
1214,0.27
1216,0.05
1220,0.06
1221,0.1
1227,0.41000000000000003
1229,0.2
1231,0.27
1232,0.02
1234,0.0
1242,0.27
1246,0.27
1248,0.06
1251,0.2
1254,0.06
1256,0.18
1257,0.27
1259,0.18
1267,0.25
1271,0.06
1277,0.30000000000000004
1287,0.17
1288,0.27
1298,0.06
1305,0.27
1306,0.06
1313,0.16
1321,0.23
1325,0.06
1327,0.11
1328,0.16
1339,0.27
1341,0.30000000000000004
1360,0.06
1362,0.27
1373,0.17
1375,0.2
1382,0.2
1389,0.27
1396,0.27
1410,0.17
1424,0.17
1430,0.18
1435,0.08
1439,0.11
1441,0.13
1442,0.06
1445,0.03
1447,0.1
1450,0.07
1453,0.05
1463,0.06
1475,0.19
1482,0.03
1497,0.6000000000000001
1505,0.07
1506,0.78
1514,0.11
1519,0.75
1522,0.17
1526,0.17
1527,0.27
1538,0.25
1565,0.11
1581,0.37
1590,0.48
1592,0.05
1595,0.12
1604,0.15
1608,0.05
1610,0.12
1627,0.27
1640,0.23
1650,0.17
1661,0.24
1666,0.24
1679,0.12
1682,0.22
1687,0.25
1698,0.05
1706,0.08
1711,0.25
1712,0.11
1715,0.05
1719,0.17
1723,0.27
1724,0.04
1726,0.27
1731,0.13
1734,0.07
1736,0.16
1737,0.14
1739,0.17
1744,0.15
1747,0.1
1752,0.71
1753,0.35000000000000003
1761,0.15
1767,0.17
1772,0.17
1775,0.04
1788,0.12
1792,0.15
1799,0.26
1802,0.05
1814,0.22
1815,0.09
1816,0.19
1818,0.17
1830,0.04
1838,0.74
1839,0.75
1840,0.01
1842,0.8300000000000001
1843,0.14
1844,0.89
1845,0.67
1852,0.30000000000000004
1858,0.99
1860,0.64
1861,0.0
1867,0.25
1882,0.98
1887,0.15
1889,0.15
1897,0.19
1909,0.49
1912,0.31
1913,0.13
1914,0.03
1915,0.07
1937,0.03
1965,0.02
1970,0.02
1972,0.30000000000000004
1989,0.19
1991,0.45
2011,0.09
2013,0.02
2020,0.01
2021,0.6900000000000001
2025,0.6900000000000001
2027,0.03
2029,0.12
2031,0.42
2039,0.04
2047,0.16
2059,0.02
2065,0.06
2071,0.36
2072,0.87
2076,0.13
2081,0.88
2085,0.2
2092,0.41000000000000003
2102,0.06
2105,0.33
2106,0.04
2108,0.09
2112,0.78
2119,0.03
2127,0.14
2136,0.07
2145,0.85
2146,0.27
2147,0.14
2167,0.06
2169,0.29
2171,0.76
2173,0.04
2181,0.21
2184,0.33
2189,0.11
2195,0.14
2196,0.17
2229,0.12
2230,0.04
2231,0.22
2232,0.35000000000000003
2233,0.14
2234,0.9400000000000001
2240,0.35000000000000003
2254,0.73
2256,0.6000000000000001
2262,0.2
2265,0.01
2266,0.61
2274,0.01
2276,0.18
2293,0.1
2296,0.04
2303,0.21
2305,0.01
2317,0.06
2321,0.04
2324,0.06
2334,0.2
2346,0.2
2354,0.48
2356,0.24
2372,0.31
2382,0.22
2385,0.05
2394,0.19
2398,0.19
2404,0.15
2406,0.01
2424,0.09
2425,0.02
2428,0.12
2443,0.33
2445,0.24
2446,0.15
2447,0.17
2450,0.04
2468,0.21
2493,0.29
2501,0.2
2503,0.09
2513,0.30000000000000004
2519,0.15
2559,0.03
2563,0.23
2570,0.27
2574,0.42
2580,0.14
2582,0.13
2585,0.21
2588,0.12
2591,0.15
2593,0.01
2594,0.43
2595,0.21
2597,0.07
2598,0.28
2604,0.31
2621,0.75
2627,0.07
2651,0.08
2662,0.02
2668,0.33
2669,0.14
2677,0.65
2686,0.27
2703,0.27
2706,0.11
2707,0.16
2711,0.12
2713,0.15
2714,0.11
2716,0.16
2718,0.16
2721,0.16
2725,0.27
2738,0.27
2740,0.16
2742,0.12
2744,0.1
2754,0.1
2784,1.0
2790,0.27
2804,0.12
2807,0.19
2809,0.01
2825,0.36
2837,0.0
2844,0.24
2846,0.21
2848,0.27
2854,0.14
2857,0.89
2861,0.27
2864,0.27
2866,0.03
2873,0.27
2875,0.06
2876,0.4
2879,0.27
2882,0.23
2884,0.27
2889,0.27
2900,0.27
2910,0.27
2917,0.15
2918,0.07
2920,0.02
2924,0.27
2933,0.27
2938,0.17
2965,0.34
2977,0.27
2981,0.0
2988,0.35000000000000003
2990,0.35000000000000003
2992,0.14
2994,0.78
2998,0.06
3020,0.49
3022,0.49
3024,0.85
3038,0.13
3051,0.21
3085,0.27
3086,0.09
3093,0.27
3104,0.33
3111,0.11
3122,0.22
3123,0.28
3127,0.16
3133,0.06
3135,0.2
3141,0.86
3142,0.06
3143,0.75
3144,0.75
3147,0.75
3151,0.75
3152,0.75
3155,0.75
3157,0.75
3158,0.75
3160,0.75
3162,0.75
3164,0.75
3165,0.75
3166,0.75
3167,0.27
3168,0.75
3169,0.08
3171,0.75
3174,0.75
3175,0.21
3176,0.75
3178,0.75
3180,0.75
3183,0.0
3185,0.23
3186,0.75
3188,0.27
3189,0.75
3190,0.75
3191,0.75
3192,0.2
3195,0.75
3197,0.16
3198,0.75
3199,0.2
3200,0.75
3201,0.27
3202,0.75
3203,0.75
3206,0.75
3209,0.75
3212,0.75
3213,0.75
3214,0.75
3215,0.75
3217,0.75
3219,0.75
3220,0.12
3221,0.75
3227,0.75
3231,0.01
3234,0.75
3243,0.75
3244,0.75
3249,0.12
3252,0.27
3261,0.75
3265,0.75
3266,0.75
3269,0.15
3271,0.75
3273,0.75
3274,0.75
3275,0.75
3280,0.75
3281,0.53
3283,0.75
3285,0.75
3289,0.05
3290,0.75
3293,0.75
3297,0.75
3300,0.75
3301,0.1
3304,0.75
3310,0.15
3313,0.1
3317,0.85
3319,0.28
3325,0.1
3334,0.03
3336,0.1
3338,0.0
3339,0.85
3346,0.08
3347,0.04
3348,0.68
3350,0.07
3353,0.0
3357,0.1
3358,0.1
3363,0.27
3368,0.11
3379,0.22
3384,0.04
3390,0.27
3393,0.06
3394,0.02
3398,0.07
3399,0.17
3405,0.27
3410,0.14
3416,0.48
3429,0.08
3436,0.09
3438,0.14
3448,0.06
3475,0.33
3481,0.12
3482,0.18
3483,0.07
3487,0.14
3492,0.12
3498,0.09
3502,0.25
3504,0.7000000000000001
3505,0.23
3534,0.13
3538,0.24
3540,0.4
3544,0.06
3563,0.2
3579,0.27
3587,0.15
3608,0.07
3619,0.32
3625,0.26
3633,0.14
3635,0.08
3636,0.16
3642,0.81
3645,0.17
3653,0.07
3657,0.14
3662,0.86
3687,0.0
3691,0.2
3704,0.11
3710,0.46
3718,0.27
3726,0.04
3731,0.0
3744,0.64
3795,0.07
3806,0.02
3812,0.11
3816,0.27
3836,0.13
3843,0.73
3874,0.27
3875,0.2
3878,0.07
3882,0.31
3883,0.33
3885,0.76
3895,0.17
3904,0.02
3923,0.05
3925,0.25
3933,0.21
3934,0.05
3942,0.13
3958,0.22
3969,0.13
3975,0.21
3980,0.39
3985,0.22
4005,0.24
4012,0.32
4019,0.2
4021,0.36
4023,0.29
4027,0.36
4034,0.21
4040,0.28
4048,0.96
4056,0.2
4068,0.54
4069,0.17
4071,0.36
4097,0.11
4116,0.2
4118,0.30000000000000004
4119,0.15
4122,0.27
4140,0.27
4164,0.11
4174,0.39
4179,0.17
4182,0.04
4183,0.25
4189,0.06
4221,0.24
4226,0.14
4239,0.19
4242,0.58
4243,0.03
4255,0.41000000000000003
4271,0.1
4277,0.13
4280,0.06
4281,0.17
4300,0.02
4304,0.09
4307,0.04
4309,0.22
4335,0.03
4336,0.7000000000000001
4338,0.25
4341,0.18
4342,0.25
4344,0.13
4347,0.13
4349,0.06
4365,0.35000000000000003
4380,0.13
4387,0.22
4402,0.84
4407,0.29
4410,0.02
4468,0.06
4486,0.13
4495,0.33
4508,0.22
4509,0.03
4512,0.46
4513,0.05
4516,0.16
4517,0.68
4519,0.05
4529,0.16
4541,0.16
4552,0.16
4560,0.16
4563,0.02
4564,0.22
4570,0.02
4577,0.26
4578,0.08
4584,0.12
4588,0.74
4593,0.72
4620,0.07
4623,0.24
4625,0.07
4629,0.06
4641,0.75
4664,0.75
4670,0.1
4672,0.8300000000000001
4673,0.04
4674,0.25
4675,0.65
4684,0.25
4689,0.12
4697,0.4
4698,0.08
4702,0.12
4709,0.2
4712,0.18
4724,0.1
4749,0.16
4758,0.09
4761,0.1
4774,0.43
4799,0.07
4803,0.06
4807,0.93
4818,0.25
4819,0.27
4839,0.04
4840,0.1
4845,0.16
4846,0.04
4848,0.16
4851,0.28
4855,0.2
4864,0.13
4887,0.78
4889,0.77
4902,0.27
4937,0.21
4947,0.64
4983,0.16
5057,0.38
5068,0.06
5069,0.16
5071,0.5700000000000001
5082,0.13
5088,0.33
5100,0.18
5104,0.06
5137,0.15
5138,0.16
5139,0.16
5140,0.11
5156,0.27
5174,0.27
5195,0.15
5201,0.06
5204,0.04
5236,0.11
5238,0.02
5242,0.08
5246,0.27
5248,0.08
5250,0.91
5251,0.77
5254,0.28
5260,0.27
5262,0.01
5277,0.2
5284,0.09
5286,0.1
5289,0.09
5295,0.13
5297,0.08
5301,0.02
5308,0.03
5323,0.27
5334,0.27
5342,0.01
5356,0.05
5358,0.79
5375,0.75
5377,0.05
5381,0.75
5382,0.04
5383,0.27
5390,0.75
5391,0.2
5392,0.75
5394,0.75
5397,0.01
5404,0.75
5405,0.05
5406,0.75
5407,0.75
5409,0.75
5410,0.32
5413,0.75
5415,0.75
5417,0.15
5419,0.91
5422,0.04
5423,0.75
5424,0.06
5427,0.75
5429,0.36
5437,0.75
5439,0.27
5440,0.08
5441,0.06
5442,0.06
5446,0.04
5453,0.39
5456,0.06
5460,0.75
5462,0.75
5465,0.75
5469,0.75
5471,0.75
5472,0.18
5474,0.75
5476,0.75
5482,0.05
5483,0.75
5489,0.75
5491,0.05
5492,0.75
5509,0.75
5520,0.75
5534,0.16
5542,0.68
5545,0.75
5547,0.36
5552,0.75
5560,0.75
5563,0.75
5566,0.75
5571,0.75
5572,0.75
5576,0.75
5577,0.75
5582,0.28
5591,0.33
5603,0.75
5608,0.75
5615,0.75
5626,0.75
5631,0.75
5634,0.75
5639,0.75
5644,0.75
5646,0.30000000000000004
5647,0.75
5667,0.26
5676,0.8200000000000001
5679,0.17
5688,0.27
5696,0.08
5709,0.0
5730,0.13
5747,0.4
5748,0.75
5758,0.36
5782,0.39
5786,0.06
5787,0.06
5789,0.06
5799,0.06
5815,0.14
5827,0.15
5840,0.06
5843,0.36
5850,0.75
5853,0.03
5855,0.36
5873,0.18
5877,0.29
5881,0.13
5884,0.36
