,bot_score,bot_score_ref
12,0.05,0.08
95,0.14,0.05
296,0.05,0.13
853,0.38,0.42
1029,0.17,0.42
1947,0.76,0.42
2658,0.18,0.42
2854,0.29,0.43
2858,0.35000000000000003,0.43
2860,0.4,0.43
4082,0.67,0.62
4146,0.16,0.62
4453,0.02,0.42
5017,0.02,0.21
8666,0.06,0.42
9626,0.36,0.31
17852,0.64,0.19
17958,0.61,0.19
23835,0.2,0.35
27248,0.58,0.11
45823,0.23,0.11
51536,0.26,0.9
56745,0.55,0.67
57097,0.04,0.67
61084,0.68,0.71
61407,0.68,0.71
62475,0.68,0.71
63031,0.17,0.71
63084,0.17,0.71
63187,0.27,0.67
66310,0.6900000000000001,0.42
68870,0.16,0.02
86711,0.35000000000000003,0.16
87941,0.13,0.16
90159,0.03,0.16
91618,0.1,0.16
91634,0.05,0.16
91864,0.08,0.16
91896,0.06,0.16
92659,0.08,0.42
93703,0.76,0.16
93738,0.27,0.16
93821,0.19,0.16
95209,0.27,0.32
97464,0.06,0.16
99752,0.73,0.58
100733,0.18,0.1
102176,0.09,0.03
102974,0.53,0.03
103593,0.04,0.03
104545,0.12,0.03
106011,0.81,0.32
109272,0.03,0.74
114480,0.53,0.6
115627,0.85,0.1
116732,0.72,0.1
126836,0.13,0.42
127453,0.35000000000000003,0.05
128650,0.33,0.1
130571,0.17,0.05
139864,0.07,0.24
153734,0.09,0.03
156196,0.23,0.11
157970,0.9500000000000001,0.15
159281,0.84,0.3
160454,0.89,0.81
160948,0.64,0.33
161100,0.12,0.15
166780,0.13,0.15
167023,0.15,0.36
168401,0.12,0.36
168559,0.30000000000000004,0.23
169291,0.97,0.29
170494,0.72,0.36
170594,0.05,0.36
171018,0.74,0.36
171485,0.72,0.36
172901,0.64,0.36
173446,0.07,0.05
173504,0.36,0.08
173575,0.73,0.29
174859,0.66,0.15
175183,0.58,0.36
176925,0.35000000000000003,0.05
177314,0.68,0.28
177358,0.21,0.27
177397,0.19,0.05
178067,0.08,0.19
178717,0.18,0.29
178847,0.88,0.29
179282,0.15,0.12
179851,0.79,0.25
179878,0.06,0.15
179963,0.25,0.25
179973,0.04,0.25
179974,0.19,0.25
179985,0.19,0.15
180050,0.05,0.25
180313,0.42,0.25
180526,0.03,0.01
180578,0.29,0.25
181615,0.25,0.25
181673,0.27,0.81
181684,0.88,0.29
181699,0.03,0.29
182353,0.9400000000000001,0.98
182364,0.97,0.98
182697,0.98,0.98
182710,0.2,0.79
182726,0.85,0.98
182735,0.87,0.98
182740,0.8300000000000001,0.98
182991,0.96,0.98
183255,1.0,0.98
183344,0.99,0.98
183386,0.45,0.36
183827,0.9500000000000001,0.98
183996,0.23,0.98
184732,0.87,0.98
184802,0.23,0.36
184965,0.22,0.36
185220,0.31,0.36
185297,0.56,0.25
185339,0.27,0.36
185420,0.84,0.98
185756,0.68,0.36
185992,0.9500000000000001,0.98
186191,0.88,0.98
186268,0.63,0.36
186325,0.13,0.98
186381,0.9500000000000001,0.98
186460,0.87,0.98
186769,0.92,0.98
186777,0.9400000000000001,0.98
186865,0.88,0.98
187028,0.84,0.98
187123,0.98,0.98
187236,1.0,0.98
187258,0.97,0.98
187806,0.73,0.98
188489,0.98,0.98
188931,0.93,0.98
189060,0.91,0.98
189282,0.91,0.98
189287,0.15,0.36
189304,0.21,0.98
189320,0.98,0.98
189447,0.62,0.64
189912,0.8,0.98
190039,0.64,0.08
192165,0.45,0.25
193469,0.02,0.27
193645,0.47000000000000003,0.25
194086,0.24,0.36
194505,0.22,0.25
194541,0.02,0.1
195435,0.26,0.25
195512,0.17,0.25
195519,0.12,0.25
195586,0.66,0.25
196025,0.92,0.98
196039,0.36,0.31
196547,0.22,0.25
197767,0.58,0.14
198334,0.41000000000000003,0.25
198735,0.98,0.98
199100,0.22,0.19
199270,0.15,0.25
199460,0.41000000000000003,0.05
199795,0.96,0.98
200563,0.64,0.98
201081,0.8300000000000001,0.29
201208,0.05,0.25
201900,0.9500000000000001,0.29
202071,0.37,0.25
202076,0.34,0.25
202077,0.2,0.25
202098,0.22,0.25
202108,0.43,0.25
202110,0.88,0.25
202125,0.65,0.25
202163,0.33,0.25
202356,0.28,0.25
202429,0.28,0.19
202606,0.87,0.98
202612,0.55,0.98
203572,0.21,0.25
203821,0.68,0.15
204694,0.9400000000000001,0.29
204697,0.31,0.29
204744,0.36,0.25
205169,0.9400000000000001,0.98
205229,0.29,0.22
205339,0.43,0.22
205392,0.9400000000000001,0.98
205437,0.73,0.22
205643,0.06,0.22
205850,0.07,0.22
205884,0.2,0.22
206188,0.13,0.22
206713,0.13,0.22
208358,0.07,0.98
208409,0.28,0.2
208439,0.13,0.29
208765,0.21,0.63
208943,0.8200000000000001,0.29
208947,0.88,0.29
208958,0.37,0.29
209917,0.72,0.18
210914,0.78,0.26
211117,0.11,0.26
211236,0.33,0.33
211736,0.88,0.08
212497,0.16,0.26
213748,0.02,0.05
215194,0.07,0.88
215547,0.27,0.26
215722,0.36,0.26
216016,0.24,0.12
216432,0.65,0.26
216504,0.65,0.63
216977,0.05,0.27
217350,0.38,0.12
217902,0.25,0.9
219832,0.02,0.73
219889,0.36,0.73
219981,0.02,0.73
219985,0.25,0.57
219991,0.14,0.14
220011,0.15,0.14
220044,0.1,0.14
220100,0.08,0.14
220106,0.18,0.14
220266,0.1,0.14
220277,0.1,0.14
220284,0.75,0.14
220481,0.14,0.14
220575,0.13,0.14
220706,0.21,0.14
221856,0.06,0.16
224645,0.39,0.15
225324,0.34,0.15
225443,0.63,0.34
225594,0.12,0.42
225950,0.31,0.65
226102,0.97,0.82
226120,0.86,0.82
226125,0.93,0.82
226131,0.9,0.82
226139,0.92,0.82
226507,0.91,0.82
226579,0.96,0.82
226652,0.9500000000000001,0.82
226770,0.21,0.82
226870,0.97,0.82
226996,0.98,0.82
227309,0.46,0.06
233509,0.63,0.14
234406,0.37,0.42
234658,0.05,0.42
236188,0.23,0.42
238218,0.26,0.68
241513,0.86,0.24
244280,0.59,0.42
245097,0.22,0.42
245363,0.04,0.25
247157,0.24,0.42
249118,0.28,0.14
249234,0.17,0.41
250482,0.52,0.42
