,seconds,bot_score
296,86.0,0.05
2854,578.0,0.29
2858,683.0,0.35000000000000003
2860,754.0,0.4
9626,107.0,0.36
17852,47.0,0.64
17958,140.0,0.61
23835,1835.0,0.2
27248,256.0,0.58
68870,17.0,0.16
86711,1009.0,0.35000000000000003
87941,128.0,0.13
95209,396.0,0.27
100733,550.0,0.18
102176,322.0,0.09
102974,1154.0,0.53
103593,1766.0,0.04
104545,2648.0,0.12
106011,286.0,0.81
115627,133.0,0.85
116732,587.0,0.72
127453,507.0,0.35000000000000003
130571,2253.0,0.17
139864,2019.0,0.07
153734,46.0,0.09
156196,71.0,0.23
157970,278.0,0.9500000000000001
159281,51.0,0.84
160948,281.0,0.64
161100,1912.0,0.12
167023,622.0,0.15
168401,1785.0,0.12
169291,85.0,0.97
173446,943.0,0.07
173504,160.0,0.36
177314,292.0,0.68
177358,1887.0,0.21
179851,240.0,0.79
179878,600.0,0.06
179963,398.0,0.25
179973,414.0,0.04
179974,414.0,0.19
180050,525.0,0.05
180313,928.0,0.42
180578,1298.0,0.29
181615,3029.0,0.25
203821,2766.0,0.68
205229,233.0,0.29
205339,1286.0,0.43
205437,2263.0,0.73
208409,452.0,0.28
210914,105.0,0.78
211736,1315.0,0.88
225324,2428.0,0.34
227309,1323.0,0.46
233509,442.0,0.63
249118,2498.0,0.28
249234,549.0,0.17
