,from_bot_score,to_followers_count,gn
675,0.01,1460.0,0
676,0.01,38077.5,0
677,0.01,355.0,0
678,0.01,137729.66666666666,0
679,0.01,710.6666666666666,0
680,0.01,726.0,0
681,0.01,75882.0,0
682,0.01,12878.0,0
683,0.01,711.0,0
684,0.01,19637.0,0
685,0.01,3778146.0,0
686,0.01,1460.0,0
687,0.01,1907.0,0
688,0.01,106.0,0
689,0.01,473752.0,0
690,0.01,204114.0,0
691,0.01,592.0,0
692,0.01,1761823.0,0
693,0.01,61.0,0
694,0.01,296.0,0
695,0.01,75882.0,0
696,0.01,5147.0,0
697,0.01,3089069.0,0
698,0.01,690.0,0
699,0.01,117.0,0
700,0.01,172.0,0
701,0.01,1783408.0,0
702,0.01,31158044.0,0
703,0.01,10133.5,0
704,0.01,232060.0,0
705,0.01,75882.0,0
706,0.01,33024.0,0
707,0.01,45696.6,0
708,0.01,4658.5,0
709,0.01,473743.0,0
710,0.01,206.0,0
711,0.01,75882.0,0
712,0.01,140211.0,0
713,0.01,5147.0,0
714,0.01,24244.88888888889,0
715,0.01,275651.0,0
716,0.01,49.5,0
717,0.01,2749.0,0
718,0.01,473752.0,0
719,0.01,275.0,0
720,0.01,232062.0,0
721,0.01,63962.6,0
722,0.01,31158016.0,0
723,0.01,232061.0,0
724,0.01,204119.0,0
725,0.01,54.0,0
726,0.01,315611.0,0
727,0.01,75882.0,0
728,0.01,232063.0,0
729,0.01,308212.0,0
730,0.01,771006.5,0
731,0.01,9088.0,0
732,0.01,1365.0,0
733,0.01,10302.0,0
734,0.01,31157923.5,0
735,0.01,75882.0,0
736,0.01,5147.0,0
737,0.01,17232666.0,0
738,0.01,26.0,0
739,0.01,2836321.0,0
740,0.01,137.0,0
741,0.01,42.0,0
742,0.01,204114.0,0
743,0.01,383.5,0
744,0.01,2267.0,0
745,0.01,15660.0,0
746,0.01,498.0,0
747,0.01,628542.0,0
748,0.01,228.0,0
749,0.01,1401078.6666666667,0
750,0.01,2857.0,0
751,0.01,75840.0,0
752,0.01,3108.0,0
753,0.01,5147.0,0
754,0.01,24190.0,0
755,0.01,236888.0,0
756,0.01,6408.0,0
757,0.01,47.0,0
758,0.01,29811.0,0
759,0.01,53712.0,0
760,0.01,7.0,0
761,0.01,2836321.0,0
762,0.01,1594.0,0
763,0.01,145.0,0
764,0.01,4796.6,0
765,0.01,206.0,0
766,0.01,232063.0,0
767,0.01,58.0,0
768,0.01,8572.57142857143,0
769,0.01,5147.0,0
770,0.01,473745.0,0
771,0.01,12878.0,0
772,0.01,35.0,0
773,0.01,73.0,0
774,0.01,2857.0,0
775,0.01,115406.0,0
776,0.01,1979.6,0
777,0.01,4919.0,0
778,0.01,5147.0,0
779,0.01,204114.0,0
780,0.01,770977.0,0
781,0.01,3274.5,0
782,0.01,1043.0,0
783,0.01,53712.0,0
784,0.01,232060.0,0
785,0.01,75882.0,0
786,0.01,34.0,0
787,0.01,232060.0,0
788,0.01,835.0,0
789,0.01,19993.5,0
790,0.01,232060.0,0
791,0.01,17.0,0
792,0.01,275.0,0
793,0.01,2266.5,0
794,0.01,75882.0,0
795,0.01,1256.0,0
796,0.01,2267.0,0
797,0.01,232063.0,0
798,0.01,2.0,0
799,0.01,439413.0,0
800,0.01,75882.0,0
801,0.01,8.0,0
802,0.01,1605.0,0
803,0.01,5147.0,0
804,0.01,65.0,0
805,0.01,436.0,0
806,0.01,64.66666666666667,0
807,0.01,9088.0,0
808,0.01,66.5,0
809,0.01,31157986.0,0
810,0.01,421.0,0
811,0.01,1605.0,0
812,0.01,232060.0,0
813,0.01,54.0,0
814,0.01,16687.0,0
815,0.01,235034.0,0
816,0.01,232063.0,0
817,0.01,896.0,0
818,0.01,105.0,0
819,0.01,863.0,0
820,0.01,75882.0,0
821,0.01,48.0,0
822,0.01,12872.0,0
823,0.01,420.0,0
824,0.01,666.6666666666666,0
825,0.01,146502.0,0
826,0.01,1907.0,0
827,0.01,473752.0,0
828,0.01,1043.0,0
829,0.01,31158031.5,0
830,0.01,5147.0,0
831,0.01,10983.5,0
832,0.01,27105.666666666668,0
833,0.01,1821.0,0
834,0.01,75882.0,0
835,0.01,2562.375,0
836,0.01,232060.0,0
837,0.01,232060.0,0
838,0.01,75882.0,0
839,0.01,578.0,0
840,0.01,83.0,0
841,0.01,212.5,0
842,0.01,446717.0,0
843,0.01,1107.0,0
844,0.01,1.0,0
845,0.01,594566.6666666666,0
846,0.01,136856.0,0
847,0.01,690.0,0
848,0.01,232061.0,0
849,0.01,117754.0,0
850,0.01,204109.0,0
851,0.01,3321.25,0
852,0.01,75882.0,0
853,0.01,51.0,0
854,0.01,690.0,0
855,0.01,592.0,0
856,0.01,83.0,0
857,0.01,628545.0,0
858,0.01,75882.0,0
859,0.01,2836320.0,0
860,0.01,42.0,0
861,0.01,75882.0,0
862,0.01,73.0,0
863,0.01,2717.5,0
864,0.01,116038.0,0
865,0.01,837477.0,0
866,0.01,755.0,0
867,0.01,75838.0,0
868,0.01,31157959.0,0
869,0.01,102076.0,0
870,0.01,628545.0,0
871,0.01,204119.0,0
872,0.01,5147.0,0
873,0.01,51.0,0
874,0.01,561.5,0
875,0.01,1529.0,0
876,0.01,145.0,0
877,0.01,252.0,0
878,0.01,670.0,0
879,0.01,102580.5,0
880,0.01,1716.0,0
881,0.01,1361.0,0
882,0.01,172.0,0
883,0.01,139273.3,0
884,0.01,217080.72727272726,0
885,0.01,1085.5,0
886,0.01,204119.0,0
887,0.01,70684.0,0
888,0.01,10258.0,0
889,0.01,15581.0,0
890,0.01,12878.0,0
891,0.01,31158041.0,0
892,0.01,3895.0,0
893,0.01,677.5,0
894,0.01,232063.0,0
895,0.01,9090.0,0
896,0.01,5147.0,0
897,0.01,13750.0,0
898,0.01,204113.5,0
899,0.01,1304.0,0
900,0.01,75882.0,0
901,0.01,65626.0,0
902,0.01,2436.0,0
903,0.01,5147.0,0
904,0.01,204119.0,0
905,0.01,8307.0,0
906,0.01,628548.0,0
907,0.01,75882.0,0
908,0.01,31158050.5,0
909,0.01,211387.0,0
910,0.01,275.0,0
911,0.01,1108.0,0
912,0.01,48.0,0
913,0.01,439.0,0
914,0.01,45.0,0
915,0.01,232062.0,0
916,0.01,1907.0,0
917,0.01,1783184.0,0
918,0.01,31157956.0,0
919,0.01,2321.5,0
920,0.01,2836320.0,0
921,0.01,4740.0,0
922,0.01,232061.0,0
923,0.01,31158020.0,0
924,0.01,1093.0,0
925,0.01,23795.0,0
926,0.01,389.3333333333333,0
927,0.01,15654084.0,0
928,0.01,133.0,0
929,0.01,473743.0,0
930,0.01,206.0,0
931,0.01,289831.0,0
932,0.01,275651.0,0
933,0.01,31989.25,0
934,0.01,83.0,0
935,0.01,15581.0,0
936,0.01,60259.0,0
937,0.01,275.0,0
938,0.01,204118.5,0
939,0.01,10690.0,0
940,0.01,42.0,0
941,0.01,416.0,0
942,0.01,23795.0,0
943,0.01,1605.0,0
944,0.01,133.75,0
945,0.01,51.0,0
946,0.01,2293.0,0
947,0.01,65.0,0
948,0.01,275.0,0
949,0.01,473752.0,0
950,0.01,46874.0,0
951,0.01,232062.0,0
952,0.01,122614.33333333333,0
953,0.01,544.0,0
954,0.01,10436.0,0
955,0.01,31157964.5,0
956,0.01,204116.0,0
957,0.01,592.0,0
958,0.01,1108.0,0
959,0.01,149.4,0
960,0.01,367.0,0
961,0.01,5147.0,0
962,0.01,42.0,0
963,0.01,14.0,0
964,0.01,418922.0,0
965,0.01,731.0,0
966,0.01,232063.0,0
967,0.01,204118.0,0
968,0.01,199.0,0
969,0.01,14009.5,0
970,0.01,53557.0,0
971,0.01,167.0,0
972,0.01,232061.0,0
973,0.01,232060.0,0
974,0.01,38084.5,0
975,0.01,12878.0,0
976,0.01,10080.75,0
977,0.01,1761607.0,0
978,0.01,204114.0,0
979,0.01,191.0,0
980,0.01,83.0,0
981,0.01,289831.0,0
982,0.01,75882.0,0
983,0.01,105041.0,0
984,0.01,75.5,0
985,0.01,5791.0,0
986,0.01,75882.0,0
987,0.01,52734.0,0
988,0.01,439413.0,0
989,0.01,592.0,0
990,0.01,14.0,0
991,0.01,83904.2,0
992,0.01,75882.0,0
993,0.01,1791.0,0
994,0.01,12899.0,0
995,0.01,1313.0,0
996,0.01,24.0,0
997,0.01,104073.0,0
998,0.01,75882.0,0
999,0.01,83.0,0
1000,0.01,439.0,0
1001,0.01,5147.0,0
1002,0.01,2267.0,0
1003,0.01,2354.0,0
1004,0.01,1285.8333333333333,0
1005,0.01,296.0,0
1006,0.01,28095.0,0
1007,0.01,1833.0,0
1008,0.01,1925.0,0
1009,0.01,232061.0,0
1010,0.01,1212.0,0
1011,0.01,21790.0,0
1012,0.01,232063.0,0
1013,0.01,419.0,0
1014,0.01,1322.0,0
1015,0.01,34.0,0
1016,0.01,232062.0,0
1017,0.01,204118.0,0
1018,0.01,690.0,0
1019,0.01,45593.0,0
1020,0.01,202965.0,0
1021,0.01,514174.0,0
1022,0.01,10511336.090909092,0
1023,0.01,1043.0,0
1024,0.01,2836321.0,0
1025,0.01,31157959.5,0
1026,0.01,1460.0,0
1027,0.01,418924.0,0
1028,0.01,423.0,0
1029,0.01,20792116.333333332,0
1030,0.01,232063.0,0
1031,0.01,75882.0,0
1032,0.01,27172.666666666668,0
1033,0.01,204109.0,0
1034,0.01,67167.33333333333,0
1035,0.01,232060.0,0
1036,0.01,1802.0,0
1037,0.01,2338.5,0
1038,0.01,628546.0,0
1039,0.01,75838.0,0
1040,0.01,27670340.0,0
1041,0.01,66.0,0
1042,0.01,427.0,0
1043,0.01,54.0,0
1044,0.01,5706.0,0
1045,0.01,232061.0,0
1046,0.01,2836320.0,0
1047,0.01,5147.0,0
1048,0.01,5147.0,0
1049,0.01,3703.0,0
1050,0.01,5080.0,0
1051,0.01,61.0,0
1052,0.01,341049.0,0
1053,0.01,31157951.0,0
1054,0.01,23795.0,0
1055,0.01,75882.0,0
1056,0.01,628544.0,0
1057,0.01,32861988.5,0
1058,0.01,172.0,0
1059,0.01,24562.0,0
1060,0.01,9088.0,0
1061,0.01,221022.5,0
1062,0.01,253.0,0
1063,0.01,47.0,0
1064,0.01,288.0,0
1065,0.01,85.0,0
1066,0.01,75882.0,0
1067,0.01,1043.0,0
1068,0.01,5791.0,0
1069,0.01,35308089.75,0
1070,0.01,1043.0,0
1071,0.01,232061.0,0
1072,0.01,769.0,0
1073,0.01,377.0,0
1074,0.01,413.5,0
1075,0.01,473752.0,0
1076,0.01,32.333333333333336,0
1077,0.01,33137.0,0
1078,0.01,4.0,0
1079,0.01,75882.0,0
1080,0.01,473752.0,0
1081,0.01,439413.0,0
1082,0.01,359.0,0
1083,0.01,20855.0,0
1084,0.01,20416.0,0
1085,0.01,1014.0,0
1086,0.01,5423.0,0
1087,0.01,9092.0,0
1088,0.01,753.0,0
1089,0.01,2354.0,0
1090,0.01,489.0,0
1091,0.01,3180.0,0
1092,0.01,32.0,0
1093,0.01,53059.0,0
1094,0.01,3445.0,0
1095,0.01,39233.0,0
1096,0.01,1108.0,0
1097,0.01,5791291.142857143,0
1098,0.01,5791.0,0
1099,0.01,3734.0,0
1100,0.01,1029.0,0
1101,0.01,75882.0,0
1102,0.01,1043.0,0
1103,0.01,390.0,0
1104,0.01,42.0,0
1105,0.01,1802.0,0
1106,0.01,628546.0,0
1107,0.01,755.0,0
1108,0.01,315615.0,0
1109,0.01,513353.0,0
1110,0.01,232067.0,0
1111,0.01,498.0,0
1112,0.01,2990.5,0
1113,0.01,33.0,0
1114,0.01,473752.0,0
1115,0.01,200.0,0
1116,0.01,755.0,0
1117,0.01,75882.0,0
1118,0.01,38.0,0
1119,0.01,75882.0,0
1120,0.01,3124.3333333333335,0
1121,0.01,232061.0,0
1122,0.01,177456.0,0
1123,0.01,24.0,0
1124,0.01,5214.0,0
1125,0.01,2740891.3333333335,0
1126,0.01,2836321.0,0
1127,0.01,18852.0,0
1128,0.01,278.5,0
1129,0.01,172.0,0
1130,0.01,204114.0,0
1131,0.01,11.0,0
1132,0.01,56901.0,0
1133,0.01,75882.0,0
1134,0.01,1802.0,0
1135,0.01,989392.75,0
1136,0.01,2354.0,0
1137,0.01,421724.5714285714,0
1138,0.01,147.0,0
1139,0.01,1108.0,0
1140,0.01,1043.0,0
1141,0.01,315283.6666666667,0
