,tweet_type,bot,count
0,retweeted,1.0,6
1,retweeted,0.0,1
2,retweeted,1.0,1
3,original,0.0,1
5,retweeted,0.0,1
6,original,0.0,1
7,retweeted,0.0,1
8,retweeted,0.0,1
9,retweeted,0.0,1
10,original,0.0,1
11,retweeted,0.0,1
12,original,1.0,1
13,retweeted,0.0,2
14,retweeted,0.0,1
15,retweeted,0.0,1
16,retweeted,0.0,1
17,retweeted,0.0,1
18,quoted,0.0,1
19,retweeted,0.0,1
20,retweeted,0.0,1
21,quoted,0.0,1
22,retweeted,0.0,1
23,original,1.0,1
24,retweeted,0.0,1
25,retweeted,0.0,1
26,retweeted,0.0,1
27,original,0.0,1
28,retweeted,0.0,1
29,original,0.0,1
30,original,0.0,1
31,retweeted,0.0,1
32,retweeted,0.0,1
33,retweeted,0.0,1
34,retweeted,0.0,1
35,retweeted,0.0,1
36,retweeted,0.0,1
38,retweeted,0.0,1
40,retweeted,0.0,1
41,retweeted,1.0,1
42,retweeted,0.0,1
43,retweeted,0.0,1
44,original,0.0,1
45,retweeted,0.0,1
46,original,0.0,2
47,retweeted,0.0,1
48,original,1.0,1
49,retweeted,0.0,1
50,original,1.0,1
51,retweeted,1.0,1
52,original,0.0,1
53,retweeted,0.0,1
54,retweeted,0.0,1
55,retweeted,1.0,1
56,retweeted,0.0,1
57,retweeted,1.0,1
58,original,0.0,1
59,quoted,0.0,1
60,retweeted,1.0,1
61,retweeted,1.0,2
62,original,0.0,1
63,original,0.0,1
64,retweeted,0.0,1
65,retweeted,0.0,1
66,retweeted,0.0,1
67,retweeted,0.0,1
68,retweeted,1.0,2
69,retweeted,0.0,1
70,original,0.0,2
71,retweeted,0.0,1
72,original,1.0,1
73,retweeted,1.0,1
74,retweeted,0.0,4
75,original,0.0,2
76,original,0.0,1
77,original,0.0,2
78,quoted,0.0,1
79,retweeted,0.0,1
80,retweeted,0.0,1
81,retweeted,0.0,1
82,retweeted,0.0,1
83,retweeted,0.0,1
84,original,0.0,1
85,original,0.0,1
86,retweeted,0.0,1
87,original,0.0,1
88,original,0.0,1
89,retweeted,0.0,1
90,quoted,0.0,1
91,original,0.0,1
92,retweeted,0.0,1
93,retweeted,0.0,2
94,original,0.0,1
95,retweeted,0.0,1
96,retweeted,0.0,1
97,retweeted,0.0,1
98,retweeted,0.0,1
99,original,0.0,1
100,retweeted,0.0,1
101,original,0.0,1
102,original,0.0,1
103,retweeted,0.0,1
104,retweeted,0.0,1
105,original,1.0,1
106,retweeted,1.0,2
107,retweeted,0.0,1
108,retweeted,0.0,1
109,original,1.0,1
110,retweeted,0.0,1
111,retweeted,0.0,1
112,original,0.0,2
113,quoted,0.0,1
114,retweeted,0.0,1
117,original,0.0,1
118,retweeted,0.0,1
119,retweeted,0.0,1
121,original,0.0,1
122,retweeted,1.0,1
123,retweeted,0.0,1
124,retweeted,0.0,2
125,retweeted,0.0,1
126,original,0.0,2
127,replied_to,0.0,1
128,retweeted,0.0,1
129,retweeted,0.0,1
130,quoted,0.0,1
131,original,0.0,1
132,retweeted,0.0,1
133,retweeted,0.0,1
134,retweeted,0.0,1
135,retweeted,0.0,1
136,retweeted,0.0,1
137,quoted,1.0,2
138,retweeted,0.0,1
139,retweeted,1.0,10
140,original,0.0,2
141,retweeted,0.0,2
142,quoted,0.0,1
143,retweeted,0.0,1
144,original,0.0,2
145,original,1.0,1
146,retweeted,0.0,1
147,retweeted,0.0,1
148,retweeted,0.0,1
149,retweeted,0.0,1
150,original,0.0,5
151,quoted,0.0,1
152,retweeted,0.0,1
153,retweeted,0.0,1
154,original,0.0,5
155,quoted,0.0,1
156,quoted,0.0,1
157,retweeted,0.0,1
158,retweeted,0.0,1
159,original,0.0,1
160,retweeted,0.0,1
161,retweeted,0.0,1
162,retweeted,0.0,1
163,original,0.0,1
164,original,0.0,11
165,quoted,0.0,64
166,replied_to,0.0,7
167,original,0.0,1
168,retweeted,1.0,3
169,original,0.0,1
170,quoted,0.0,1
171,retweeted,0.0,1
172,retweeted,0.0,1
173,retweeted,0.0,1
174,original,0.0,1
175,retweeted,0.0,1
176,retweeted,0.0,1
177,retweeted,0.0,1
178,original,0.0,1
179,retweeted,0.0,8
180,retweeted,0.0,1
181,retweeted,0.0,1
182,retweeted,1.0,6
183,retweeted,0.0,1
184,retweeted,0.0,1
185,retweeted,1.0,1
186,retweeted,0.0,1
187,original,0.0,1
188,original,0.0,5
189,retweeted,0.0,19
190,retweeted,0.0,1
191,retweeted,0.0,1
192,original,0.0,1
193,retweeted,0.0,1
194,retweeted,0.0,1
195,retweeted,0.0,1
196,retweeted,0.0,2
197,original,0.0,1
198,retweeted,0.0,1
199,original,0.0,1
200,replied_to,0.0,1
201,retweeted,0.0,1
202,quoted,0.0,1
203,retweeted,0.0,1
204,retweeted,0.0,2
205,original,0.0,1
206,retweeted,0.0,1
207,retweeted,0.0,1
208,retweeted,0.0,1
209,retweeted,0.0,1
210,retweeted,0.0,2
211,retweeted,0.0,1
212,retweeted,0.0,1
213,retweeted,0.0,1
214,retweeted,0.0,1
215,retweeted,0.0,2
216,retweeted,0.0,1
217,replied_to,0.0,1
218,retweeted,0.0,1
219,original,0.0,1
220,replied_to,0.0,3
221,retweeted,0.0,2
222,quoted,0.0,1
223,original,0.0,1
224,retweeted,0.0,2
225,original,0.0,1
226,original,0.0,1
227,quoted,0.0,1
228,retweeted,0.0,1
229,retweeted,0.0,1
230,retweeted,0.0,1
231,retweeted,0.0,1
232,original,0.0,1
233,retweeted,0.0,1
234,retweeted,0.0,1
235,retweeted,0.0,1
236,original,0.0,1
237,retweeted,0.0,1
238,retweeted,0.0,1
239,original,0.0,1
240,quoted,0.0,3
241,retweeted,0.0,1
242,retweeted,0.0,1
243,retweeted,0.0,1
244,retweeted,0.0,1
245,retweeted,0.0,1
246,retweeted,1.0,3
247,retweeted,0.0,1
248,original,0.0,1
