,bot,followers_count
0,1.0,6202
1,0.0,959
2,1.0,42355
3,0.0,18293
5,0.0,910
6,0.0,11500
7,0.0,3373
8,0.0,2383
9,0.0,957
10,0.0,7614
11,1.0,612793
12,0.0,632
13,0.0,378
14,0.0,7380
15,0.0,656
16,0.0,1347
17,0.0,3058
18,0.0,5831
19,0.0,848
20,0.0,719
21,0.0,157
22,1.0,10820
23,0.0,1737
24,0.0,1347
25,0.0,1762
26,0.0,826
27,0.0,3394
28,0.0,103922
29,0.0,706
30,0.0,801
31,0.0,2516
32,0.0,4918
33,0.0,1448
34,0.0,1108
35,0.0,102
37,0.0,265
39,0.0,1738
40,1.0,1823
41,0.0,696
42,0.0,53591
43,0.0,1055
44,0.0,2219
45,0.0,1015
46,1.0,330
47,0.0,16760
48,1.0,42434
49,1.0,2991
50,0.0,602
51,0.0,505
52,0.0,201
53,1.0,865
54,0.0,3444
55,1.0,3555
56,0.0,1244
57,1.0,7829
58,1.0,10037
59,0.0,1877
60,0.0,2214
61,0.0,1882
62,0.0,788
63,0.0,3857
64,0.0,208
65,1.0,1462
66,0.0,4879
67,0.0,3230
68,0.0,561
69,1.0,24594
70,1.0,245
71,0.0,2074
72,0.0,2262
73,0.0,506
74,0.0,85126
75,0.0,558
76,0.0,23883
77,0.0,8114
78,0.0,86
79,0.0,2205
80,0.0,885
81,0.0,2377
82,0.0,494
83,0.0,3668
84,0.0,17
85,0.0,3472
86,0.0,46042
87,0.0,11181
88,0.0,31
89,0.0,62
90,0.0,2137
91,0.0,659
92,0.0,4307
93,0.0,449
94,0.0,3263
95,0.0,5841
96,0.0,2145
97,0.0,15998
98,0.0,284
99,1.0,5607
100,1.0,3524
101,0.0,1036
102,0.0,562
103,1.0,45519
104,0.0,5778
105,0.0,2149
106,0.0,3279
107,0.0,2591
110,0.0,6786
111,0.0,648
112,0.0,564
114,0.0,343
115,1.0,12546
116,0.0,1198
117,0.0,23116
118,0.0,1843
119,0.0,139
120,0.0,115
121,0.0,525
122,0.0,860
123,0.0,1942
124,0.0,413
125,0.0,606
126,0.0,8961
127,0.0,710
128,0.0,1550
129,0.0,49
130,1.0,9900
131,0.0,389
132,1.0,3790
133,0.0,5261
134,0.0,194
135,0.0,11439
136,0.0,479
137,1.0,4565
138,0.0,4338
139,0.0,17596
140,0.0,97
141,0.0,451
142,0.0,315
143,0.0,2941
144,0.0,13949
145,0.0,105
146,0.0,2878
147,0.0,1118
148,0.0,514
149,0.0,7486
150,0.0,4044
151,0.0,527
152,0.0,1024
153,0.0,288
154,0.0,81342
155,1.0,4146
156,0.0,87
157,0.0,162
158,0.0,5272
159,0.0,1303
160,0.0,112
161,0.0,2777
162,0.0,5052
163,0.0,4124
164,0.0,1155
165,0.0,44
166,0.0,32184
167,0.0,1008
168,1.0,1337
169,0.0,327
170,0.0,139
171,1.0,374
172,0.0,22811
173,0.0,248
174,0.0,2190
175,0.0,89
176,0.0,208
177,0.0,498
178,0.0,73
179,0.0,2048
180,0.0,521
181,0.0,465
182,0.0,3161
183,0.0,651
184,0.0,2104
185,0.0,1120
186,0.0,265
187,0.0,891
188,0.0,84
189,0.0,310
190,0.0,77
191,0.0,239
192,0.0,1681
193,0.0,53
194,0.0,259
195,0.0,922
196,0.0,110
197,0.0,260
198,0.0,81
199,0.0,1010
200,0.0,2426
201,0.0,142796
202,0.0,1791
203,0.0,12219
204,0.0,1361
205,0.0,107537
206,0.0,14220
207,0.0,3658
208,0.0,137
209,0.0,3200
210,0.0,437
211,0.0,37663
212,0.0,142
213,0.0,2637
214,0.0,291
215,0.0,56
216,0.0,1651
217,0.0,987
218,0.0,467
219,0.0,2813
220,0.0,24922
221,0.0,1320
222,0.0,3271
223,0.0,842
224,1.0,8610
225,0.0,1771
226,0.0,1530
227,0.0,1010
228,0.0,191
229,1.0,3511
230,0.0,192
231,0.0,592
232,0.0,1766
233,0.0,6325
234,1.0,7701
235,0.0,742
236,0.0,27331
237,0.0,802
238,0.0,2861
239,0.0,717
240,0.0,300
241,1.0,16851
242,0.0,210
243,0.0,540
244,0.0,314
245,0.0,507
246,0.0,471
247,1.0,4832
248,0.0,2079
249,0.0,474
250,0.0,1425
251,1.0,245
252,0.0,254
253,0.0,1882
254,0.0,147
255,1.0,116
256,0.0,6272
257,0.0,2073
258,1.0,10061
259,0.0,2022
260,0.0,766
261,0.0,9211
262,0.0,103
263,0.0,752
264,1.0,1650
265,0.0,611
266,0.0,34222
267,0.0,39
268,0.0,681
269,0.0,14818
270,0.0,1499
271,0.0,372
272,0.0,11940
273,1.0,6854
274,0.0,694
275,0.0,7493
276,0.0,1189
277,0.0,1606
278,0.0,5092
279,0.0,5172
280,0.0,1926
281,0.0,2188
282,0.0,287
283,0.0,3413
284,0.0,2189
285,0.0,2678
286,0.0,538
287,0.0,3665
288,0.0,1931
289,1.0,2534
290,0.0,349
291,0.0,468
292,1.0,7803
293,0.0,4435
294,0.0,765
295,0.0,7
296,1.0,415
297,0.0,183
298,0.0,488
299,0.0,13439
300,0.0,42
301,0.0,5301
302,0.0,763
303,0.0,6619
304,0.0,3319
305,0.0,2386
306,1.0,5642
307,0.0,267
308,0.0,2808
309,0.0,442
310,0.0,230
311,0.0,11587
312,0.0,205
313,0.0,54
314,0.0,2165
315,0.0,45440
316,0.0,2173
317,0.0,109
318,0.0,3555
319,0.0,2652
320,0.0,83
321,0.0,383
322,0.0,551
323,1.0,54071
324,0.0,187
325,0.0,3953
326,0.0,6312
327,0.0,232
328,0.0,369
329,0.0,661
330,1.0,337
331,0.0,164
332,0.0,9320
333,0.0,297
334,0.0,712
335,0.0,237
336,0.0,4075
337,0.0,57
338,0.0,3396
339,0.0,4614
340,0.0,822
341,0.0,1240
342,0.0,169
343,0.0,436
344,0.0,1129
345,0.0,24599
346,0.0,3610
347,0.0,1930
348,0.0,835
349,0.0,222
350,1.0,5410
351,0.0,21616
352,0.0,3330
353,0.0,13544
354,0.0,264
355,1.0,1558
356,1.0,104976
357,0.0,2566
358,0.0,1431
359,0.0,848
360,0.0,181
361,0.0,721
362,0.0,3536
363,0.0,283
364,0.0,1483
365,1.0,2817
366,0.0,323
367,0.0,293
368,0.0,2355
369,1.0,1718
370,0.0,74
371,0.0,1790
372,0.0,387
373,0.0,36
374,1.0,12334
375,0.0,208
376,1.0,1354
377,0.0,35755
378,0.0,694
379,0.0,1048
380,0.0,553
381,0.0,1890
382,0.0,1586
383,0.0,42471
384,0.0,5659
385,0.0,711
386,0.0,388
387,0.0,114
388,0.0,413
389,0.0,8257
390,0.0,2256
391,0.0,7645
392,0.0,723
393,0.0,763
394,0.0,3223
395,1.0,7814
396,0.0,148
397,0.0,1816
398,0.0,1070
399,1.0,12926
400,0.0,3600
401,0.0,170
402,0.0,2270
403,0.0,937
404,0.0,102
405,0.0,30906
406,0.0,1475
407,0.0,7891
408,0.0,89
409,0.0,11
410,0.0,201
411,0.0,235
412,0.0,210
413,0.0,793
414,1.0,46617
415,0.0,4176
416,0.0,313
417,0.0,477
418,0.0,405
419,0.0,423
420,0.0,471
421,1.0,3083
422,0.0,948
423,0.0,203
424,1.0,588
425,1.0,473752
426,0.0,48
427,0.0,1782
428,0.0,8992
429,0.0,3657
430,0.0,251
431,0.0,11834
432,0.0,4631
433,0.0,148
434,0.0,10602
435,0.0,3664
436,0.0,913
437,0.0,176
438,0.0,1049
439,0.0,13207
440,1.0,306
441,0.0,449
442,0.0,6469
443,1.0,6449
444,0.0,631
445,0.0,800
446,0.0,1548
448,0.0,164
449,1.0,10562
450,0.0,1740
451,0.0,166
452,0.0,421
453,0.0,203
454,0.0,38
455,0.0,763
456,0.0,1637
457,1.0,8956
458,0.0,37
459,0.0,616
460,0.0,965
461,0.0,824
462,0.0,505
463,0.0,387
464,0.0,3724
465,0.0,30580
466,0.0,2250
467,0.0,1531
468,0.0,58048
469,0.0,828
470,0.0,3537
471,0.0,554
472,1.0,140
473,0.0,4380
474,0.0,420
475,0.0,5733
476,0.0,1334
477,1.0,20246
478,0.0,2482
479,0.0,323
480,1.0,8019
481,0.0,5663
482,0.0,412
483,0.0,986
484,0.0,89
485,0.0,3007
486,0.0,146
487,1.0,1491
488,0.0,2179
489,0.0,4629
490,0.0,184
491,0.0,153
492,0.0,29
493,0.0,1421
494,0.0,1084
495,0.0,99
496,0.0,311
497,0.0,82
498,0.0,176
499,1.0,1827
500,1.0,66
501,0.0,936
502,0.0,2763
