,tweet_type,bot,like_count,reply_count,retweet_count
4,original,0.0,0,0,0
11,original,0.0,1,0,0
12,original,0.0,1,0,0
16,original,0.0,0,0,0
22,original,0.0,0,0,0
27,original,0.0,1,0,0
33,original,0.0,0,0,0
41,original,0.0,0,1,0
51,original,0.0,0,0,0
52,original,0.0,0,0,0
53,original,0.0,0,0,0
58,original,0.0,4,0,0
60,original,0.0,4,1,1
64,original,0.0,79,13,30
92,original,0.0,3,3,1
94,original,0.0,0,0,0
97,original,0.0,2,2,0
101,original,0.0,0,0,0
102,original,0.0,1,1,0
115,original,0.0,2,0,0
116,original,0.0,2,0,0
117,original,0.0,1,0,1
123,original,0.0,0,0,0
157,original,0.0,0,1,0
158,original,0.0,0,0,0
159,original,0.0,12,1,0
177,original,0.0,16,0,2
193,original,0.0,6,0,4
202,original,0.0,0,0,0
205,original,0.0,2,0,0
213,original,0.0,1,0,0
215,original,0.0,1,0,0
220,original,0.0,0,0,0
224,original,0.0,1,0,1
226,original,0.0,1,0,0
230,original,0.0,2,2,0
234,original,0.0,1,0,0
239,original,0.0,22,0,2
252,original,1.0,0,0,0
254,original,0.0,2,0,0
256,original,0.0,15,13,0
259,original,1.0,91,30,24
264,original,0.0,2,0,0
267,original,0.0,0,1,0
293,original,0.0,0,0,0
294,original,0.0,0,0,0
299,original,0.0,1,0,0
313,original,0.0,0,0,0
314,original,0.0,2,0,1
316,original,0.0,2,3,0
324,original,0.0,4,1,2
325,original,0.0,0,0,1
333,original,1.0,32,3,8
338,original,0.0,1,0,0
341,original,0.0,0,0,0
344,original,0.0,1,0,0
345,original,0.0,2,0,0
346,original,0.0,1,1,0
347,original,0.0,1,0,0
349,original,0.0,1,1,1
362,original,0.0,47,13,8
385,original,0.0,1,0,1
398,original,0.0,1,0,1
400,original,0.0,4,0,0
401,original,0.0,10,0,1
408,original,0.0,2,1,0
429,original,0.0,0,0,0
431,original,0.0,5,1,0
442,original,0.0,2,0,0
447,original,0.0,1,0,0
450,original,0.0,0,0,0
455,original,0.0,1,0,0
457,original,0.0,0,0,0
462,original,0.0,5,0,0
469,original,0.0,0,1,0
488,original,0.0,1,0,0
490,original,0.0,0,0,0
496,original,0.0,1,1,0
502,original,0.0,16,0,2
503,original,0.0,1,0,0
504,original,0.0,2,0,0
509,original,0.0,1,0,0
512,original,0.0,2,0,2
514,original,0.0,1,0,1
526,original,1.0,27,0,14
534,original,0.0,9,0,1
538,original,1.0,0,0,0
553,original,0.0,23,2,1
562,original,0.0,4,0,0
572,original,0.0,0,1,0
575,original,0.0,0,0,0
578,original,0.0,6,0,1
579,original,0.0,0,0,0
580,original,0.0,1,1,0
581,original,0.0,10,1,1
583,original,0.0,4,2,0
586,original,0.0,61,15,20
589,original,1.0,4,0,0
592,original,0.0,4,0,0
595,original,0.0,3,0,3
599,original,0.0,4,1,0
624,original,0.0,0,0,0
630,original,1.0,155,29,39
631,original,0.0,0,0,0
632,original,1.0,0,0,0
644,original,0.0,0,0,0
651,original,0.0,4,0,0
656,original,0.0,0,0,0
679,original,0.0,3,0,1
706,original,0.0,3,1,1
711,original,0.0,3,0,1
712,original,0.0,0,0,1
728,original,0.0,0,0,0
730,original,0.0,8,1,0
731,original,0.0,0,0,0
733,original,0.0,0,0,0
736,original,0.0,2,0,0
742,original,0.0,1,1,0
745,original,0.0,14,7,3
751,original,0.0,0,1,0
752,original,0.0,5,5,0
763,original,0.0,0,0,0
766,original,0.0,0,0,0
774,original,0.0,0,0,0
775,original,0.0,31,7,3
